timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
260603069,32767,32767,32767,32767,32767,32767,32767
260607068,32767,32767,32767,32767,-70,32767,32767
260611075,32767,32767,32767,32767,32767,-64,32767
260615109,32767,32767,32767,32767,-41,32767,32767
260619069,32767,32767,32767,32767,32767,-39,32767
260623086,32767,32767,32767,32767,32767,32767,32767
260627069,32767,32767,32767,32767,32767,32767,32767
260631069,32767,32767,32767,32767,32767,-64,32767
260635082,32767,32767,32767,32767,32767,32767,32767
260639069,32767,32767,32767,32767,-70,-40,32767
260643103,32767,32767,32767,32767,32767,32767,32767
260647069,32767,32767,32767,32767,-50,32767,32767
260651069,32767,32767,32767,32767,32767,-56,32767
260655086,32767,32767,32767,32767,32767,32767,32767
260659075,32767,32767,32767,32767,-60,-40,32767
260663085,32767,32767,32767,32767,32767,32767,32767
260667069,32767,32767,32767,32767,32767,32767,32767
260671070,32767,32767,32767,32767,32767,-72,32767
260675081,32767,32767,32767,32767,32767,32767,32767
260679069,32767,32767,32767,32767,-37,-40,32767
260683098,32767,32767,32767,32767,32767,32767,32767
260687068,32767,32767,32767,32767,32767,32767,32767
260691077,32767,32767,32767,32767,-49,-72,32767
260695075,32767,32767,32767,32767,32767,32767,32767
260699068,32767,32767,32767,32767,32767,-40,32767
260703085,32767,32767,32767,32767,-60,32767,32767
260707086,32767,32767,32767,32767,32767,32767,32767
260711087,32767,32767,32767,32767,32767,-72,32767
260715075,32767,32767,32767,32767,32767,32767,32767
260719074,32767,32767,32767,32767,32767,-40,32767
260723078,32767,32767,-66,32767,-36,32767,32767
260727115,32767,32767,32767,32767,32767,32767,32767
260731068,32767,32767,32767,32767,32767,-71,32767
260735075,32767,32767,32767,32767,-50,32767,32767
260739071,32767,32767,32767,32767,32767,-40,32767
260743100,32767,32767,32767,32767,32767,32767,32767
260747068,32767,32767,32767,32767,-60,32767,32767
260751068,32767,32767,32767,32767,32767,-72,32767
260755087,32767,32767,32767,32767,32767,32767,32767
260759068,32767,32767,32767,32767,32767,32767,32767
260763124,32767,32767,32767,32767,32767,32767,32767
260767069,32767,32767,32767,32767,-40,-39,32767
260771069,32767,32767,32767,32767,32767,32767,32767
260775068,32767,32767,32767,32767,32767,32767,32767
260779069,32767,32767,32767,32767,-50,-64,32767
260783123,32767,32767,32767,32767,32767,32767,32767
260787068,32767,32767,32767,32767,32767,-39,32767
260791086,32767,32767,32767,32767,-60,32767,32767
260795069,32767,32767,32767,32767,32767,32767,32767
260799069,32767,32767,32767,32767,32767,-64,32767
260803107,32767,32767,32767,32767,32767,32767,32767
260807069,32767,32767,32767,32767,32767,-40,32767
260811108,32767,32767,32767,32767,-50,32767,32767
260815068,32767,32767,32767,32767,32767,32767,32767
260819068,32767,32767,32767,32767,32767,-56,32767
260823076,32767,32767,32767,32767,-60,32767,32767
260827069,32767,32767,32767,32767,32767,-40,32767
260831069,32767,32767,32767,32767,-37,32767,32767
260835068,32767,32767,32767,32767,32767,32767,32767
260839088,32767,32767,32767,32767,32767,-56,32767
260843075,32767,32767,32767,32767,32767,32767,32767
260847069,32767,32767,32767,32767,32767,-40,32767
260851089,32767,32767,32767,32767,-36,32767,32767
260855069,32767,32767,32767,32767,32767,32767,32767
260859069,32767,32767,32767,32767,32767,-56,32767
260863077,32767,32767,32767,32767,-50,32767,32767
260867069,32767,32767,32767,32767,32767,-40,32767
260871068,32767,32767,32767,32767,32767,32767,32767
260875090,32767,32767,32767,32767,-66,32767,32767
260879069,32767,32767,32767,32767,32767,-72,32767
260883075,32767,32767,32767,32767,32767,32767,32767
260887068,32767,32767,32767,32767,32767,-40,32767
260891095,32767,32767,32767,32767,32767,32767,32767
260895090,32767,32767,32767,32767,-47,32767,32767
260899069,32767,32767,32767,32767,32767,-71,32767
260903075,32767,32767,32767,32767,32767,32767,32767
260907075,32767,32767,32767,32767,-60,-40,32767
260911102,32767,32767,32767,32767,32767,32767,32767
260915069,32767,32767,32767,32767,32767,32767,32767
260919070,32767,32767,32767,32767,-67,-71,32767
260923075,32767,32767,-59,32767,32767,32767,32767
260927068,32767,32767,32767,32767,32767,-40,32767
260931081,32767,32767,32767,32767,32767,32767,32767
260935069,32767,32767,32767,32767,32767,32767,32767
260939069,32767,32767,32767,32767,-47,-72,32767
260943075,32767,32767,32767,32767,32767,32767,32767
260947069,32767,32767,32767,32767,32767,-40,32767
260951090,32767,32767,32767,32767,-60,32767,32767
260955069,32767,32767,32767,32767,32767,32767,32767
260958312,32767,32767,32767,32767,32767,-65,32767
260962275,32767,32767,32767,32767,-57,32767,32767
260965496,32767,32767,32767,32767,32767,-32,32767
260970269,32767,32767,32767,32767,32767,32767,32767
260974269,32767,32767,32767,32767,32767,32767,32767
260978268,32767,32767,32767,32767,32767,-64,32767
260982275,32767,32767,32767,32767,-42,32767,32767
260987069,32767,32767,32767,32767,32767,-48,32767
260991075,32767,32767,32767,32767,32767,32767,32767
260995070,32767,32767,32767,32767,-60,-40,32767
260998302,32767,32767,32767,32767,32767,32767,32767
261002275,32767,32767,32767,32767,32767,32767,32767
261005496,32767,32767,32767,32767,-54,-32,32767
261009508,32767,32767,32767,32767,32767,32767,32767
261014269,32767,32767,32767,32767,32767,32767,32767
261018269,32767,32767,32767,32767,32767,-72,32767
261022275,32767,32767,32767,32767,32767,32767,32767
261025502,32767,32767,32767,32767,-34,-33,32767
261029517,32767,32767,32767,32767,32767,32767,32767
261034269,32767,32767,32767,32767,32767,32767,32767
261038269,32767,32767,32767,32767,-52,-72,32767
261042275,32767,32767,32767,32767,32767,32767,32767
261046283,32767,32767,32767,32767,32767,-40,32767
261049508,32767,32767,32767,32767,-64,32767,32767
261054278,32767,32767,32767,32767,32767,32767,32767
261058269,32767,32767,32767,32767,32767,-72,32767
261062275,32767,32767,32767,32767,32767,32767,32767
261065505,32767,32767,32767,32767,32767,-33,32767
261069504,32767,32767,32767,32767,-45,32767,32767
261074268,32767,32767,32767,32767,32767,32767,32767
261078269,32767,32767,32767,32767,32767,-72,32767
261082269,32767,32767,32767,32767,-62,32767,32767
261086318,32767,32767,32767,32767,32767,-57,32767
261090275,32767,32767,32767,32767,32767,32767,32767
261094269,32767,32767,32767,32767,-63,-40,32767
261098268,32767,32767,32767,32767,32767,32767,32767
261102269,32767,32767,32767,32767,32767,32767,32767
261106283,32767,32767,32767,32767,32767,-64,32767
261110281,32767,32767,32767,32767,32767,32767,32767
261114269,32767,32767,32767,32767,-52,-40,32767
261118268,32767,32767,32767,32767,32767,32767,32767
261122269,32767,32767,32767,32767,32767,32767,32767
