timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
376674448,-0.014634329,-0.007129206,-0.010597367,0.0070991213,-0.015110942,-0.009380248,0.0
376706404,-0.053597942,-0.016313996,-0.023438249,0.0071842247,-0.015020156,-0.00935147,0.0
376738452,-0.0183986,-0.03219372,-0.008681251,0.007311175,-0.014851582,-0.009332202,0.0
376770431,0.0019971738,0.007711467,-0.0033301425,0.007360553,-0.014702928,-0.009314389,0.0
376802454,-0.08335979,0.0033525245,0.007145664,0.007330235,-0.014655788,-0.009296728,0.0
376830441,0.004547355,0.05649849,-0.016338313,0.00738355,-0.014631985,-0.009273233,0.0
376862434,0.030068265,0.098941624,-0.0044845194,0.007421389,-0.014638291,-0.009283819,0.0
376894407,-0.011663725,-0.047708973,0.0032642288,0.00734871,-0.014614557,-0.009270085,0.0
376926446,0.040899113,-0.056403726,0.0027686798,0.0073138517,-0.01450182,-0.009226378,0.0
376958447,-0.00313281,0.0974619,-0.009213057,0.007343488,-0.014473829,-0.009231696,0.0
376990446,-0.009252027,0.004649608,0.004586283,0.007396684,-0.014411681,-0.009270712,0.0
377020877,-0.0557799,-0.009146547,0.005295645,0.0073895184,-0.014369715,-0.009286925,0.0
377053631,0.095716596,0.070047855,0.0038367962,0.007349813,-0.014411681,-0.009265665,0.0
377085604,0.10379805,0.08056141,-0.0057823863,0.0072510033,-0.014506772,-0.009277144,0.0
377117629,-0.08446478,-0.054840777,-0.0014198977,0.00723559,-0.014451095,-0.0093351705,0.0
377145606,-0.0018358371,-0.034575447,0.0076060183,0.0073063024,-0.014342163,-0.009370387,0.0
377177604,-0.006180653,0.060811244,-0.018634766,0.0074022305,-0.014280746,-0.009568766,0.0
377209614,-0.07082715,0.0080735115,-0.01415458,0.0075231832,-0.014258314,-0.009502235,0.0
377241658,-0.0012567977,-0.09729919,0.009190938,0.0076624663,-0.014185654,-0.009485799,0.0
377273609,0.07484449,-0.074138485,0.0067796204,0.0076039,-0.014047154,-0.009500024,0.0
377305604,0.06706767,0.035070933,0.007632687,0.007445236,-0.01397497,-0.009541247,0.0
377337608,0.012294315,0.08356366,-0.0077625224,0.0074140453,-0.013981109,-0.0095651895,0.0
377365604,-0.07001617,0.012808088,0.028390583,0.00748056,-0.014014139,-0.009593304,0.0
377397624,-0.05130911,-0.042454462,0.026999004,0.0075544845,-0.014032739,-0.009614896,0.0
377429644,-0.014966177,-0.052009482,0.017918585,0.007581165,-0.013960849,-0.009630472,0.0
377461604,-0.019701673,0.00351999,0.0154985525,0.0075489525,-0.0138974115,-0.009642384,0.0
377493611,-0.1054655,-0.020456998,0.017536618,0.0076550306,-0.0138531,-0.009659783,0.0
377525608,-0.026290199,-0.0059180837,0.019040685,0.00777964,-0.013809967,-0.009688208,0.0
377557639,0.07636907,0.021988852,0.018069526,0.0077770124,-0.013771282,-0.009716394,0.0
377589610,0.13602662,0.044505417,0.018998777,0.007669441,-0.013778475,-0.009745326,0.0
377621614,0.013361155,0.024065664,0.016017985,0.0076296274,-0.01377234,-0.009780547,0.0
377653604,-0.12621874,-0.028809007,0.021018516,0.0078044613,-0.013668972,-0.009824228,0.0
377685655,-0.09805488,-0.06715336,0.026779462,0.007959807,-0.0135502275,-0.009864464,0.0
377717604,0.032772962,-0.005170352,0.032116935,0.007949415,-0.013506347,-0.009897556,0.0
377749654,0.03822125,0.052928917,0.01812337,0.007908738,-0.013516286,-0.009949026,0.0
377781604,0.028158443,0.06346115,0.0066400594,0.007914094,-0.013531546,-0.00998629,0.0
377813681,0.016829545,0.023836318,0.018374125,0.007942667,-0.013537991,-0.0100295935,0.0
377845626,0.037237078,0.024136454,0.020918803,0.007961518,-0.013538128,-0.010078985,0.0
377877664,0.06997631,0.017835291,0.027233072,0.007838791,-0.013624698,-0.010122058,0.0
377908836,-0.036540274,-0.0036046784,0.0051075546,0.007772276,-0.013708515,-0.010142208,0.0
377940897,-0.11369719,-0.061224792,0.0051961686,0.007872642,-0.013666657,-0.010173626,0.0
377972847,-0.04484171,-0.099300995,-0.0061332826,0.008030896,-0.013444026,-0.010201947,0.0
378004822,-0.004782407,-0.047832016,0.0042851986,0.0081834085,-0.013206655,-0.0102224555,0.0
