timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
388685630,32767,32767,32767,32767,32767,32767,32767,32767
388689626,32767,32767,32767,32767,32767,32767,32767,32767
388693622,32767,32767,32767,32767,-60,32767,32767,32767
388697651,32767,32767,32767,32767,32767,32767,32767,32767
388701622,32767,32767,32767,32767,32767,32767,32767,32767
388705622,32767,-19,32767,32767,-59,-89,32767,32767
388709642,32767,32767,32767,32767,32767,32767,32767,32767
388713631,32767,32767,32767,32767,-42,32767,32767,32767
388717653,32767,32767,32767,32767,32767,32767,32767,32767
388721622,32767,32767,32767,32767,32767,32767,32767,32767
388725622,32767,32767,32767,32767,32767,-53,32767,32767
388729659,32767,32767,32767,32767,32767,32767,32767,32767
388733622,32767,32767,32767,32767,32767,32767,32767,32767
388737652,32767,-23,32767,32767,-66,32767,32767,32767
388741621,32767,32767,32767,32767,32767,32767,32767,32767
388746421,32767,32767,32767,32767,-50,32767,32767,32767
388751221,32767,32767,32767,32767,32767,-78,32767,32767
388755222,32767,32767,32767,32767,32767,32767,32767,32767
388759221,32767,32767,32767,32767,-68,32767,32767,32767
388763266,32767,32767,32767,32767,32767,32767,32767,32767
388767237,32767,-3,32767,32767,32767,32767,32767,32767
388771222,32767,32767,32767,32767,32767,-55,32767,32767
388775222,32767,32767,32767,32767,32767,32767,32767,32767
388779221,32767,32767,32767,32767,-58,32767,32767,32767
388783229,32767,32767,32767,32767,32767,32767,32767,32767
388787229,32767,32767,32767,32767,32767,32767,32767,32767
388791221,32767,32767,32767,32767,-62,32767,32767,32767
388795259,32767,32767,-47,32767,32767,-61,32767,32767
388799221,32767,-4,32767,32767,-42,32767,32767,32767
388803249,32767,32767,32767,32767,32767,32767,32767,32767
388807221,32767,32767,32767,32767,32767,32767,32767,32767
388811221,32767,32767,32767,32767,32767,32767,32767,32767
388815227,32767,32767,32767,32767,32767,32767,32767,32767
388819221,32767,32767,32767,32767,32767,-65,32767,32767
388823248,32767,32767,32767,32767,-67,32767,32767,32767
388827222,32767,32767,32767,32767,32767,32767,32767,32767
388831265,32767,-4,32767,32767,32767,32767,32767,32767
388835227,32767,32767,32767,32767,-63,32767,32767,32767
388839221,32767,32767,32767,32767,32767,32767,32767,32767
388843222,32767,32767,32767,32767,32767,-63,32767,32767
388847221,32767,32767,32767,32767,-73,32767,32767,32767
388851247,32767,32767,32767,32767,32767,32767,32767,32767
388855222,32767,32767,32767,32767,32767,32767,32767,32767
388859221,32767,32767,32767,32767,32767,32767,32767,32767
388863221,32767,-3,32767,32767,32767,32767,32767,32767
388867221,32767,32767,32767,32767,-61,-82,32767,32767
388871255,32767,32767,32767,32767,32767,32767,32767,32767
388875222,32767,32767,32767,32767,32767,32767,32767,32767
388879248,32767,32767,32767,32767,-74,32767,32767,32767
388883221,32767,32767,32767,32767,32767,32767,32767,32767
388887228,32767,32767,32767,32767,-46,32767,32767,32767
388891261,32767,32767,32767,32767,32767,-84,32767,32767
388895222,32767,-15,32767,32767,32767,32767,32767,32767
388899222,32767,32767,32767,32767,32767,32767,32767,32767
388903221,32767,32767,32767,32767,32767,32767,32767,32767
388907254,32767,32767,32767,32767,32767,32767,32767,32767
388911221,32767,32767,32767,32767,-73,32767,32767,32767
388915265,32767,32767,32767,32767,32767,-57,32767,32767
388919221,32767,32767,32767,32767,-47,32767,32767,32767
388923222,32767,32767,32767,32767,32767,32767,32767,32767
388927227,32767,-23,32767,32767,32767,32767,32767,32767
388931234,32767,32767,32767,32767,-58,32767,32767,32767
388935238,32767,32767,32767,32767,32767,32767,32767,32767
388939222,32767,32767,32767,32767,32767,-58,32767,32767
388943222,32767,32767,32767,32767,32767,32767,32767,32767
388947222,32767,32767,32767,32767,32767,32767,32767,32767
388951254,32767,32767,32767,32767,32767,32767,32767,32767
388955230,32767,32767,32767,32767,-63,32767,32767,32767
388959234,32767,-15,32767,32767,32767,32767,32767,32767
388963252,32767,32767,32767,32767,32767,32767,32767,32767
388967222,32767,32767,32767,32767,-71,-94,32767,32767
388971222,32767,32767,32767,32767,32767,32767,32767,32767
388975222,32767,32767,32767,32767,-47,32767,32767,32767
388979244,32767,32767,32767,32767,32767,32767,32767,32767
388983221,32767,32767,32767,32767,32767,32767,32767,32767
388987222,32767,32767,32767,32767,32767,-57,32767,32767
388991248,32767,-15,32767,32767,32767,32767,32767,32767
388995221,32767,32767,32767,32767,32767,32767,32767,32767
388999244,32767,32767,-58,32767,-68,32767,32767,32767
389003221,32767,32767,32767,32767,32767,32767,32767,32767
389007224,32767,32767,32767,32767,-47,32767,32767,32767
389011222,32767,32767,32767,32767,32767,-54,32767,32767
389015221,32767,32767,32767,32767,32767,32767,32767,32767
389019227,32767,32767,32767,32767,-58,32767,32767,32767
389023221,32767,-25,32767,32767,32767,32767,32767,32767
389027221,32767,32767,32767,32767,32767,32767,32767,32767
389031221,32767,32767,32767,32767,32767,32767,32767,32767
389035221,32767,32767,32767,32767,32767,-55,32767,32767
389039267,32767,32767,32767,32767,-47,32767,32767,32767
389043221,32767,32767,32767,32767,32767,32767,32767,32767
389047256,32767,32767,32767,32767,32767,32767,32767,32767
389051222,32767,32767,32767,32767,-62,32767,32767,32767
389055221,32767,-13,32767,32767,32767,32767,32767,32767
389059221,32767,32767,32767,32767,-43,-52,32767,32767
389063221,32767,32767,32767,32767,32767,32767,32767,32767
389067221,32767,32767,32767,32767,32767,32767,32767,32767
389071227,32767,32767,32767,32767,32767,32767,32767,32767
389075248,32767,32767,32767,32767,32767,32767,32767,32767
389079226,32767,32767,32767,32767,32767,32767,32767,32767
389083224,32767,32767,32767,32767,-63,-62,32767,32767
389087221,32767,-15,32767,32767,32767,32767,32767,32767
389091227,32767,32767,32767,32767,32767,32767,32767,32767
389095222,32767,32767,32767,32767,-71,32767,32767,32767
389099246,32767,32767,32767,32767,32767,32767,32767,32767
389103237,32767,32767,32767,32767,-46,32767,32767,32767
389107222,32767,32767,32767,32767,32767,-63,32767,32767
389111221,32767,32767,32767,32767,32767,32767,32767,32767
389115222,32767,32767,32767,32767,32767,32767,32767,32767
389119221,32767,-21,32767,32767,32767,32767,32767,32767
389123222,32767,32767,32767,32767,32767,32767,32767,32767
389127222,32767,32767,32767,32767,-68,32767,32767,32767
389131247,32767,32767,32767,32767,32767,-65,32767,32767
389135222,32767,32767,32767,32767,-46,32767,32767,32767
389139221,32767,32767,32767,32767,32767,32767,32767,32767
389143222,32767,32767,32767,32767,32767,32767,32767,32767
389147241,32767,32767,32767,32767,-57,32767,32767,32767
389151222,32767,-12,32767,32767,32767,32767,32767,32767
389155222,32767,32767,32767,32767,32767,-83,32767,32767
389159252,32767,32767,32767,32767,32767,32767,32767,32767
389163228,32767,32767,32767,32767,32767,32767,32767,32767
389167262,32767,32767,32767,32767,32767,32767,32767,32767
389171222,32767,32767,32767,32767,-62,32767,32767,32767
389175222,32767,32767,32767,32767,32767,32767,32767,32767
389179222,32767,32767,32767,32767,-46,-59,32767,32767
