timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
75086702,0,263178,0.18825701,-0.072019204,0.31212947,49.966366,0.0015,242,-146,-224,0
75197102,0,263178,0.16122748,-0.07376064,0.31970245,50.01429,0.0015,243,-131,-229,0
75297902,0,263178,0.1774452,-0.075502075,0.3333338,50.008297,0.0015,244,-140,-238,0
75397941,0,263178,0.15401962,-0.063312046,0.32273164,49.99332,0.0015,237,-127,-231,0
75500302,0,263178,0.17564324,-0.07376064,0.32576084,49.96936,0.0015,243,-139,-233,0
75609102,0,263178,0.16483141,-0.06679491,0.3378776,49.990326,0.0015,239,-133,-241,0
75700338,0,263178,0.16122748,-0.06679491,0.31970245,49.978348,0.0015,239,-131,-229,0
75810701,0,263178,0.17564324,-0.056346312,0.3045565,49.99332,0.0015,233,-139,-219,0
75911502,0,263178,0.15762354,-0.05982918,0.32273164,50.01129,0.0015,235,-129,-231,0
76011502,0,263178,0.1666334,-0.037190553,0.32121703,50.005302,0.0015,222,-134,-230,0
76111502,0,263178,0.1774452,-0.03022482,0.31212947,49.972355,0.0015,218,-140,-224,0
76213107,0,263178,0.20447473,-0.038931984,0.31970245,50.026268,0.0015,223,-155,-229,0
76313102,0,263178,0.18825701,-0.044156283,0.3000127,50.041245,0.0015,226,-146,-216,0
76413902,0,263178,0.18285112,-0.04241485,0.31667328,50.04424,0.0015,225,-143,-227,0
76513916,0,263178,0.18645506,-0.04241485,0.31061488,50.029263,0.0015,225,-145,-223,0
76625114,0,263178,0.18104914,-0.033707686,0.31515867,50.03226,0.0015,220,-142,-226,0
76725133,0,263178,0.2062767,-0.040673416,0.29395434,50.041245,0.0015,224,-156,-212,0
76827502,0,263178,0.19005898,-0.028483387,0.31364408,50.05622,0.0015,217,-147,-225,0
76926739,0,263178,0.18285112,-0.031966254,0.3318192,50.03226,0.0015,219,-143,-237,0
77027538,0,263178,0.18465307,-0.05460488,0.31818786,50.03825,0.0015,232,-144,-228,0
77127502,0,263178,0.18285112,-0.031966254,0.2924397,50.047234,0.0015,219,-143,-211,0
77218734,0,263178,0.20447473,-0.04241485,0.2984981,50.068203,0.0015,225,-155,-215,0
77329101,0,263178,0.23871213,-0.04763915,0.28183755,50.026268,0.0015,228,-174,-204,0
77429902,0,263178,0.22249441,-0.031966254,0.31061488,50.041245,0.0015,219,-165,-223,0
77529902,0,263178,0.20807867,-0.031966254,0.28638133,50.06221,0.0015,219,-157,-207,0
77629902,0,263178,0.22249441,-0.038931984,0.31061488,50.08917,0.0015,223,-165,-223,0
77741103,0,263178,0.16122748,-0.05982918,0.3075857,50.065205,0.0015,235,-131,-221,0
77841102,0,263178,0.19726686,-0.045897715,0.3075857,50.065205,0.0015,227,-151,-221,0
77943502,0,263178,0.18645506,-0.035449117,0.32273164,50.06221,0.0015,221,-145,-231,0
78042701,0,263178,0.18825701,-0.058087748,0.29395434,50.068203,0.0015,234,-146,-212,0
78143513,0,263178,0.1720393,-0.105106436,0.3075857,50.092163,0.0015,261,-137,-221,0
78243502,0,263178,0.19005898,-0.0981407,0.3015273,50.068203,0.0015,257,-147,-217,0
78345101,0,263178,0.19726686,-0.11555503,0.3075857,50.071198,0.0015,267,-151,-221,0
78445101,0,263178,0.1269901,-0.06853635,0.29092512,50.05622,0.0015,240,-112,-210,0
