timestamp,min_distance,max_distance,current_distance,covariance,signal_quality,type,id,orientation
200138012,0.01,50.0,2.79,0.0,64,0,4,6
200169795,0.01,50.0,2.77,0.0,64,0,4,6
200201940,0.01,50.0,2.78,0.0,64,0,4,6
200233267,0.01,50.0,2.78,0.0,4,0,4,6
200265766,0.01,50.0,2.79,0.0,64,0,4,6
200298002,0.01,50.0,2.78,0.0,64,0,4,6
200329771,0.01,50.0,2.78,0.0,64,0,4,6
200361913,0.01,50.0,2.79,0.0,64,0,4,6
200393774,0.01,50.0,2.78,0.0,64,0,4,6
200425980,0.01,50.0,2.78,0.0,52,0,4,6
200457946,0.01,50.0,2.78,0.0,64,0,4,6
200489742,0.01,50.0,2.79,0.0,64,0,4,6
200521754,0.01,50.0,2.78,0.0,64,0,4,6
200553826,0.01,50.0,2.77,0.0,64,0,4,6
200585812,0.01,50.0,2.78,0.0,64,0,4,6
200618015,0.01,50.0,2.77,0.0,64,0,4,6
200649138,0.01,50.0,2.78,0.0,64,0,4,6
200681214,0.01,50.0,2.78,0.0,0,0,4,6
200713237,0.01,50.0,2.77,0.0,64,0,4,6
200745206,0.01,50.0,2.77,0.0,64,0,4,6
200777117,0.01,50.0,2.76,0.0,64,0,4,6
200809096,0.01,50.0,2.78,0.0,64,0,4,6
200841112,0.01,50.0,2.77,0.0,64,0,4,6
200873118,0.01,50.0,2.77,0.0,64,0,4,6
200905172,0.01,50.0,2.77,0.0,64,0,4,6
200937329,0.01,50.0,2.77,0.0,64,0,4,6
200969135,0.01,50.0,2.76,0.0,64,0,4,6
200999830,0.01,50.0,2.78,0.0,4,0,4,6
201031756,0.01,50.0,2.78,0.0,-68,0,4,6
201062937,0.01,50.0,2.78,0.0,4,0,4,6
201095341,0.01,50.0,2.78,0.0,4,0,4,6
201127347,0.01,50.0,2.78,0.0,4,0,4,6
201158950,0.01,50.0,2.78,0.0,4,0,4,6
201191321,0.01,50.0,2.75,0.0,4,0,4,6
201222174,0.01,50.0,2.76,0.0,4,0,4,6
201254242,0.01,50.0,2.78,0.0,4,0,4,6
201287333,0.01,50.0,2.77,0.0,4,0,4,6
201319788,0.01,50.0,2.78,0.0,64,0,4,6
201351338,0.01,50.0,2.77,0.0,4,0,4,6
201383742,0.01,50.0,2.77,0.0,64,0,4,6
201415760,0.01,50.0,2.76,0.0,64,0,4,6
201447358,0.01,50.0,2.79,0.0,64,0,4,6
201479738,0.01,50.0,2.78,0.0,64,0,4,6
201512092,0.01,50.0,2.77,0.0,64,0,4,6
201543377,0.01,50.0,2.77,0.0,64,0,4,6
201576115,0.01,50.0,2.76,0.0,64,0,4,6
201607827,0.01,50.0,2.77,0.0,64,0,4,6
201640142,0.01,50.0,2.78,0.0,64,0,4,6
201671751,0.01,50.0,2.78,0.0,64,0,4,6
201703802,0.01,50.0,2.77,0.0,64,0,4,6
201735742,0.01,50.0,2.76,0.0,64,0,4,6
201768322,0.01,50.0,2.78,0.0,64,0,4,6
201800745,0.01,50.0,2.75,0.0,64,0,4,6
201832192,0.01,50.0,2.77,0.0,64,0,4,6
201863770,0.01,50.0,2.78,0.0,64,0,4,6
201895870,0.01,50.0,2.76,0.0,64,0,4,6
201928264,0.01,50.0,2.76,0.0,64,0,4,6
201959754,0.01,50.0,2.77,0.0,64,0,4,6
201991346,0.01,50.0,2.77,0.0,64,0,4,6
202023769,0.01,50.0,2.78,0.0,64,0,4,6
202055846,0.01,50.0,2.78,0.0,64,0,4,6
202087313,0.01,50.0,2.77,0.0,4,0,4,6
202119944,0.01,50.0,2.76,0.0,64,0,4,6
202151770,0.01,50.0,2.76,0.0,64,0,4,6
202183969,0.01,50.0,2.77,0.0,64,0,4,6
202216604,0.01,50.0,2.77,0.0,64,0,4,6
202248748,0.01,50.0,2.77,0.0,64,0,4,6
202280308,0.01,50.0,2.77,0.0,64,0,4,6
202312755,0.01,50.0,2.75,0.0,64,0,4,6
202344996,0.01,50.0,2.75,0.0,0,0,4,6
202376315,0.01,50.0,2.74,0.0,64,0,4,6
202408753,0.01,50.0,2.74,0.0,64,0,4,6
202440937,0.01,50.0,2.71,0.0,56,0,4,6
202472344,0.01,50.0,2.73,0.0,64,0,4,6
202504647,0.01,50.0,2.72,0.0,4,0,4,6
202536910,0.01,50.0,2.71,0.0,0,0,4,6
202568560,0.01,50.0,2.71,0.0,64,0,4,6
