timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
210035455,210035222,0.00016736292,-0.014046058,-0.012626107,0.52801573,0.0,0.0,0.0,0.0
210039466,210039227,0.011782935,0.014899278,-0.015351878,0.52801573,0.0,0.0,0.0,0.0
210043515,210043274,0.02308979,-0.0072179353,-0.01674091,0.52801573,0.0,0.0,0.0,0.0
210047420,210047221,0.0014323627,-0.017555876,-0.0120828375,0.51695627,0.0,0.0,0.0,0.0
210051412,210051221,0.024768393,0.013744219,-0.016452722,0.51695627,0.0,0.0,0.0,0.0
210055551,210055222,0.009355629,-0.029264,-0.015171087,0.51695627,0.0,0.0,0.0,0.0
210059479,210059227,0.0017994156,-0.0142932115,-0.013103132,0.51695627,0.0,0.0,0.0,0.0
210063514,210063259,0.022172533,0.0076797446,-0.016291406,0.51695627,0.0,0.0,0.0,0.0
210067412,210067221,0.010146591,-0.03268613,-0.012627268,0.51695627,0.0,0.0,0.0,0.0
210071441,210071230,0.013497017,-0.004373366,-0.013491128,0.5107037,0.0,0.0,0.0,0.0
210075459,210075221,0.009978228,-0.0032530583,-0.015155252,0.5107037,0.0,0.0,0.0,0.0
210079416,210079220,0.0011157552,-0.029376356,-0.010744801,0.5107037,0.0,0.0,0.0,0.0
210083499,210083221,0.023178905,0.0021534655,-0.013536605,0.5107037,0.0,0.0,0.0,0.0
210087421,210087222,0.011053862,-0.015144276,-0.01412817,0.5107037,0.0,0.0,0.0,0.0
210091437,210091222,-0.00036819512,-0.027723763,-0.011794517,0.5107037,0.0,0.0,0.0,0.0
210095472,210095221,0.020106418,0.0033067744,-0.013696969,0.51029766,0.0,0.0,0.0,0.0
210099442,210099234,0.009956456,-0.016999032,-0.015362405,0.51029766,0.0,0.0,0.0,0.0
210103491,210103221,0.018661695,-0.018815348,-0.014005204,0.51029766,0.0,0.0,0.0,0.0
210107415,210107221,0.022440378,-0.0013616122,-0.012848634,0.51029766,0.0,0.0,0.0,0.0
210111424,210111228,0.006698953,-0.021405833,-0.013488781,0.5105885,0.0,0.0,0.0,0.0
210115444,210115221,0.022406287,-0.014001676,-0.018362615,0.5105885,0.0,0.0,0.0,0.0
210119444,210119225,0.020230921,-0.0032408675,-0.014067065,0.5105885,0.0,0.0,0.0,0.0
210123490,210123221,0.000510585,-0.02088146,-0.0130596105,0.5105885,0.0,0.0,0.0,0.0
210127505,210127248,0.021507371,-0.007566221,-0.01572749,0.5105885,0.0,0.0,0.0,0.0
210131481,210131267,0.014709753,-0.0049991817,-0.011807766,0.5105885,0.0,0.0,0.0,0.0
210135453,210135221,-0.002589116,-0.02100551,-0.013113044,0.50999206,0.0,0.0,0.0,0.0
210139418,210139222,0.01669421,-0.005351714,-0.018036103,0.50999206,0.0,0.0,0.0,0.0
210143492,210143222,0.0008980912,-0.00513115,-0.010014033,0.50999206,0.0,0.0,0.0,0.0
210147470,210147222,-0.0035424568,-0.013756846,-0.013639849,0.50999206,0.0,0.0,0.0,0.0
210151475,210151269,0.01336981,-0.0113502545,-0.01897502,0.50999206,0.0,0.0,0.0,0.0
210155482,210155251,0.0053997645,-0.012090813,-0.008192844,0.50999206,0.0,0.0,0.0,0.0
210159423,210159222,-0.0009935594,-0.00945506,-0.016803179,0.5089312,0.0,0.0,0.0,0.0
210163442,210163224,0.018803403,-0.01682425,-0.018044373,0.5089312,0.0,0.0,0.0,0.0
210167469,210167224,0.003152749,-0.019074049,-0.0075817583,0.5089312,0.0,0.0,0.0,0.0
210171468,210171263,0.005174326,-0.0043278527,-0.019370154,0.5089312,0.0,0.0,0.0,0.0
210175421,210175221,0.01905705,-0.023674872,-0.017873522,0.5089312,0.0,0.0,0.0,0.0
210179421,210179221,0.011654902,-0.022427185,-0.007308433,0.5089312,0.0,0.0,0.0,0.0
210183485,210183233,0.023017634,0.0053858063,-0.017923085,0.50682795,0.0,0.0,0.0,0.0
210187458,210187221,0.025141403,-0.02725772,-0.01872873,0.50682795,0.0,0.0,0.0,0.0
210191450,210191244,0.01373664,-0.027622994,-0.010121728,0.50682795,0.0,0.0,0.0,0.0
210195415,210195221,0.028802093,0.008262324,-0.01720319,0.50682795,0.0,0.0,0.0,0.0
210199436,210199221,0.031456873,-0.019997358,-0.015120931,0.50682795,0.0,0.0,0.0,0.0
210203489,210203248,0.021558408,-0.02531521,-0.01191527,0.50682795,0.0,0.0,0.0,0.0
210207472,210207221,0.027745666,0.002244128,-0.017721575,0.5033858,0.0,0.0,0.0,0.0
210211525,210211248,0.02348793,-0.02174095,-0.014843214,0.5033858,0.0,0.0,0.0,0.0
210215436,210215222,0.022830473,-0.019914057,-0.014869779,0.5033858,0.0,0.0,0.0,0.0
210219427,210219222,0.02767437,0.0017000355,-0.016167905,0.5033858,0.0,0.0,0.0,0.0
210223460,210223222,0.011322337,-0.026865292,-0.012735542,0.50017524,0.0,0.0,0.0,0.0
210227457,210227222,0.009385389,-0.019205429,-0.01503432,0.50017524,0.0,0.0,0.0,0.0
210231486,210231221,0.011744641,-0.0024474175,-0.016699102,0.50017524,0.0,0.0,0.0,0.0
210235415,210235222,0.0004423987,-0.025982521,-0.013696695,0.50017524,0.0,0.0,0.0,0.0
210239490,210239268,0.0007472085,-0.015242103,-0.015133698,0.50017524,0.0,0.0,0.0,0.0
210243458,210243221,0.005196587,0.000533856,-0.015866563,0.50017524,0.0,0.0,0.0,0.0
210247461,210247260,0.005692071,-0.022524137,-0.013161925,0.49905875,0.0,0.0,0.0,0.0
210251485,210251221,0.007377683,-0.01460298,-0.015686158,0.49905875,0.0,0.0,0.0,0.0
210255424,210255221,-0.0021103835,0.009952759,-0.014457159,0.49905875,0.0,0.0,0.0,0.0
210259423,210259222,0.0056031393,-0.017344654,-0.012945087,0.49905875,0.0,0.0,0.0,0.0
210263462,210263221,0.014859672,-0.016922042,-0.014599111,0.49905875,0.0,0.0,0.0,0.0
210267441,210267234,0.006534107,0.011040225,-0.0115744155,0.49905875,0.0,0.0,0.0,0.0
210271493,210271222,0.006904466,-0.012732016,-0.013074876,0.49918464,0.0,0.0,0.0,0.0
210275422,210275221,0.018786643,-0.022808928,-0.013542221,0.49918464,0.0,0.0,0.0,0.0
210279462,210279261,0.015551815,0.008109257,-0.013200141,0.49918464,0.0,0.0,0.0,0.0
210283463,210283222,0.017887538,-0.006087322,-0.015471747,0.49918464,0.0,0.0,0.0,0.0
210287433,210287222,0.021918464,-0.02801901,-0.015236438,0.49918464,0.0,0.0,0.0,0.0
210291499,210291222,0.011425549,-0.00088287145,-0.008515595,0.49918464,0.0,0.0,0.0,0.0
210295503,210295257,0.020493532,-0.003746529,-0.01539279,0.49944425,0.0,0.0,0.0,0.0
210299430,210299225,0.02652933,-0.037330203,-0.015413536,0.49944425,0.0,0.0,0.0,0.0
210303472,210303221,0.007849642,-0.009708228,-0.0069484203,0.49944425,0.0,0.0,0.0,0.0
210307422,210307221,0.015473132,0.0048810835,-0.015679829,0.49944425,0.0,0.0,0.0,0.0
210311519,210311222,0.023247687,-0.038974468,-0.014438146,0.49944425,0.0,0.0,0.0,0.0
210315449,210315221,0.0067794593,-0.010832381,-0.0072229193,0.49944425,0.0,0.0,0.0,0.0
210319443,210319232,0.013381136,0.017684344,-0.015520707,0.4995156,0.0,0.0,0.0,0.0
210323501,210323248,0.013742073,-0.037974678,-0.014354869,0.4995156,0.0,0.0,0.0,0.0
210327432,210327221,0.0051851673,-0.012740048,-0.008643635,0.4995156,0.0,0.0,0.0,0.0
210331470,210331220,0.011067476,0.01931062,-0.014726716,0.4995156,0.0,0.0,0.0,0.0
210335466,210335222,0.008687831,-0.041832227,-0.012442142,0.4994911,0.0,0.0,0.0,0.0
210339454,210339249,0.00448184,-0.018807156,-0.010993677,0.4994911,0.0,0.0,0.0,0.0
210343440,210343224,0.015613188,0.016114987,-0.013623174,0.4994911,0.0,0.0,0.0,0.0
210347430,210347224,0.0062196134,-0.049321637,-0.011332784,0.4994911,0.0,0.0,0.0,0.0
210351486,210351242,0.010493274,-0.024138715,-0.0131815,0.4994911,0.0,0.0,0.0,0.0
210355471,210355222,0.02246106,0.0060681654,-0.012183851,0.4994911,0.0,0.0,0.0,0.0
210359466,210359222,0.007024603,-0.04516504,-0.010779304,0.4994681,0.0,0.0,0.0,0.0
210364271,210364022,0.010634271,-0.020361789,-0.014161994,0.4994681,0.0,0.0,0.0,0.0
210368233,210368024,0.022794314,0.0003340632,-0.01109867,0.4994681,0.0,0.0,0.0,0.0
210373042,210372842,0.01276122,-0.032960005,-0.011748705,0.4994681,0.0,0.0,0.0,0.0
210377028,210376827,0.016176833,0.0028308898,-0.012561344,0.4994681,0.0,0.0,0.0,0.0
210381019,210380821,0.0105084,-0.0072599603,-0.01227821,0.4994681,0.0,0.0,0.0,0.0
210385061,210384824,0.00032045273,-0.038631465,-0.013056772,0.49968374,0.0,0.0,0.0,0.0
210389053,210388822,0.012669751,-0.014157123,-0.013040576,0.49968374,0.0,0.0,0.0,0.0
210393070,210392822,0.00897932,-0.009812295,-0.011505066,0.49968374,0.0,0.0,0.0,0.0
210397022,210396822,0.0043659587,-0.026074989,-0.010859848,0.49968374,0.0,0.0,0.0,0.0
210401024,210400822,0.019957757,-0.0146957785,-0.012910697,0.50024605,0.0,0.0,0.0,0.0
210405064,210404822,0.0061181965,-0.014686574,-0.011770641,0.50024605,0.0,0.0,0.0,0.0
210409067,210408827,0.0023552394,-0.01691641,-0.0128116505,0.50024605,0.0,0.0,0.0,0.0
210413108,210412822,0.037101477,-0.015395345,-0.0117849605,0.50024605,0.0,0.0,0.0,0.0
210417025,210416822,0.014251974,-0.018825445,-0.0071159345,0.50024605,0.0,0.0,0.0,0.0
210421034,210420822,0.0006892339,-0.008953651,-0.014245687,0.50024605,0.0,0.0,0.0,0.0
210425064,210424822,0.030514743,-0.012244608,-0.013372301,0.50068694,0.0,0.0,0.0,0.0
210429056,210428822,0.014650591,-0.02355594,-0.006388974,0.50068694,0.0,0.0,0.0,0.0
210433099,210432822,0.001156209,-0.0031060907,-0.0138239255,0.50068694,0.0,0.0,0.0,0.0
210437024,210436822,0.02238639,-0.008632059,-0.01413825,0.50068694,0.0,0.0,0.0,0.0
210441138,210440831,0.0008907786,-0.021929584,-0.008271465,0.50068694,0.0,0.0,0.0,0.0
210445045,210444822,-0.0011664559,0.002926763,-0.0142174605,0.50068694,0.0,0.0,0.0,0.0
210449073,210448877,0.01795685,-0.007527381,-0.013498346,0.50020564,0.0,0.0,0.0,0.0
210453090,210452826,-0.0053491835,-0.02477102,-0.008311347,0.50020564,0.0,0.0,0.0,0.0
210457020,210456822,-0.000669254,0.013348236,-0.014876183,0.50020564,0.0,0.0,0.0,0.0
210461042,210460839,0.013522407,-0.005531421,-0.013976262,0.50020564,0.0,0.0,0.0,0.0
210465070,210464830,-0.006902124,-0.02896899,-0.008152716,0.50020564,0.0,0.0,0.0,0.0
