timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,fix_type,vel_ned_valid,satellites_used
199580481,1553071377800026,0,0,-17000,0,64.642006,3.1415925,4294967.5,3750002.0,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
199780513,1553071378000026,0,0,-17000,0,64.673004,3.1415925,4294967.5,3750002.2,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
199981054,1553071378200026,0,0,-17000,0,64.704,3.1415925,4294967.5,3750002.2,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
200180703,1553071378400026,0,0,-17000,0,64.735,3.1415925,4294967.5,3750002.2,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
200380481,1553071378600026,0,0,-17000,0,64.76601,3.1415925,4294967.5,3750002.2,99.99,99.99,74,33,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
200581488,1553071378800026,0,0,-17000,0,64.797005,3.1415925,4294967.5,3750002.2,99.99,99.99,74,33,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
200782048,1553071379000026,0,0,-17000,0,64.828,3.1415925,4294967.5,3750002.2,99.99,99.99,74,33,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
200981486,1553071379200026,0,0,-17000,0,64.859,3.1415925,4294967.5,3750002.2,99.99,99.99,74,33,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
201181750,1553071379400026,0,0,-17000,0,64.889,3.1415925,4294967.5,3750002.2,99.99,99.99,74,33,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
201381491,1553071379600026,0,0,-17000,0,64.920006,3.1415925,4294967.5,3750002.2,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
201581483,1553071379800025,0,0,-17000,0,64.951004,3.1415925,4294967.5,3750002.2,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
201780509,1553071380000025,0,0,-17000,0,64.982,3.1415925,4294967.5,3750002.2,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
201980527,1553071380200025,0,0,-17000,0,65.013,3.1415925,4294967.5,3750002.2,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
202181561,1553071380400025,0,0,-17000,0,65.04301,3.1415925,4294967.5,3750002.2,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
202380913,1553071380600025,0,0,-17000,0,65.074005,3.1415925,4294967.5,3750002.2,99.99,99.99,73,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
202581763,1553071380800025,0,0,-17000,0,65.105,3.1415925,4294967.5,3750002.2,99.99,99.99,73,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
202781420,1553071381000025,0,0,-17000,0,65.136,3.1415925,4294967.5,3750002.2,99.99,99.99,73,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
202981489,1553071381200025,0,0,-17000,0,65.166,3.1415925,4294967.5,3750002.2,99.99,99.99,73,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
203180482,1553071381400025,0,0,-17000,0,65.19701,3.1415925,4294967.5,3750002.2,99.99,99.99,73,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
203380542,1553071381600025,0,0,-17000,0,65.228004,3.1415925,4294967.5,3750002.2,99.99,99.99,73,45,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
203583097,1553071381800025,0,0,-17000,0,65.258,3.1415925,4294967.5,3750002.2,99.99,99.99,73,45,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
203780615,1553071382000025,0,0,-17000,0,65.289,3.1415925,4294967.5,3750002.2,99.99,99.99,73,45,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
203981485,1553071382200025,0,0,-17000,0,65.32,3.1415925,4294967.5,3750002.2,99.99,99.99,73,45,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
204181485,1553071382400025,0,0,-17000,0,65.350006,3.1415925,4294967.5,3750002.2,99.99,99.99,73,45,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
204380536,1553071382600025,0,0,-17000,0,65.381004,3.1415925,4294967.5,3750002.2,99.99,99.99,73,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
204581481,1553071382800025,0,0,-17000,0,65.411,3.1415925,4294967.5,3750002.2,99.99,99.99,73,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
204780484,1553071383000025,0,0,-17000,0,65.442,3.1415925,4294967.5,3750002.2,99.99,99.99,73,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
204981035,1553071383200025,0,0,-17000,0,65.472,3.1415925,4294967.5,3750002.2,99.99,99.99,73,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
205182616,1553071383400025,0,0,-17000,0,65.503006,3.1415925,4294967.5,3750002.2,99.99,99.99,73,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
205381711,1553071383600025,0,0,-17000,0,65.534004,3.1415925,4294967.5,3750002.2,99.99,99.99,73,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
205579497,1553071383800025,0,0,-17000,0,65.564,3.1415925,4294967.5,3750002.2,99.99,99.99,73,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
205781477,1553071384000025,0,0,-17000,0,65.595,3.1415925,4294967.5,3750002.2,99.99,99.99,73,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
205981484,1553071384200025,0,0,-17000,0,65.625,3.1415925,4294967.5,3750002.2,99.99,99.99,73,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
206181532,1553071384400025,0,0,-17000,0,65.65501,3.1415925,4294967.5,3750002.2,99.99,99.99,73,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
206381555,1553071384600024,0,0,-17000,0,65.686005,3.1415925,4294967.5,3750002.2,99.99,99.99,73,38,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
206580509,1553071384800024,0,0,-17000,0,65.716,3.1415925,4294967.5,3750002.2,99.99,99.99,73,38,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
206780237,1553071385000024,0,0,-17000,0,65.747,3.1415925,4294967.5,3750002.2,99.99,99.99,73,38,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
206978722,1553071385200024,0,0,-17000,0,65.777,3.1415925,4294967.5,3750002.2,99.99,99.99,73,38,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
207181528,1553071385400024,0,0,-17000,0,65.80801,3.1415925,4294967.5,3750002.2,99.99,99.99,73,38,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
207380429,1553071385600024,0,0,-17000,0,65.838005,3.1415925,4294967.5,3750002.2,99.99,99.99,73,28,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
