timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
210874854,0.38832924,0.0028649115,-2.4487908,0.40147766,0.40548098,0.4034806,0.37609687,-0.738245,-0.96406555,-0.9681473,-0.9678898,-0.9522915,-1.6420846,-0.6804409,-0.68162966,-0.68061924,-0.6687789,0.00014086935,0.20437638,0.124331556,0.12534223,0.5458089
211074851,0.3931823,0.0031300648,-2.4311333,0.40741307,0.41128096,0.40913543,0.38140458,-0.09646416,-1.0300541,-1.0354366,-1.0342083,-1.0069599,-2.443468,-0.7245512,-0.72677374,-0.7252593,-0.70684624,0.00017260086,0.19496284,0.116527945,0.118191645,0.57014495
211274891,0.39726123,0.003408416,-2.4084184,0.4130527,0.4167204,0.4143687,0.38619033,0.61063194,-1.0834084,-1.0896149,-1.0874939,-1.0509243,-3.0341983,-0.7745547,-0.77787876,-0.77565765,-0.74916744,0.00020809464,0.18086384,0.10569313,0.10831344,0.60492146
211474866,0.40154922,0.0035318462,-2.3826125,0.41923866,0.42265964,0.4200643,0.39140597,1.3280926,-1.0590878,-1.065485,-1.0626163,-1.0202904,-3.3799891,-0.86880875,-0.87302256,-0.86995316,-0.8353195,0.00022608701,0.16317633,0.09301272,0.09671543,0.6468695
211674851,0.41181457,0.00416435,-2.3497162,0.43159205,0.43475872,0.4319082,0.4027236,1.6152649,-1.0771923,-1.0828075,-1.079752,-1.0391273,-3.3442526,-1.008667,-1.0130162,-1.0093436,-0.97080135,0.00031203878,0.1441169,0.080163635,0.084832445,0.69057494
211874878,0.4239443,0.0033597222,-2.3170407,0.44548592,0.44842494,0.44535473,0.4157521,2.0084095,-0.8740082,-0.87882423,-0.87568283,-0.8375988,-3.159801,-1.0441995,-1.04845,-1.0442424,-1.0030437,0.00020947437,0.12741207,0.06946347,0.074810036,0.72810495
212074896,0.43478394,0.002802838,-2.2884266,0.45774066,0.4605022,0.4572588,0.42731574,1.9429722,-0.86641693,-0.8704052,-0.8674183,-0.833498,-2.7006974,-0.85775805,-0.8615494,-0.8571987,-0.8170037,0.00013690059,0.11431041,0.06135923,0.0670969,0.7570965
212274854,0.44901744,0.002742738,-2.2589104,0.4732148,0.47582662,0.4724342,0.4421795,1.7393799,-0.8097496,-0.8130474,-0.81033325,-0.78079796,-2.433804,-0.88373756,-0.88695526,-0.8827858,-0.8459215,0.00012968686,0.10340625,0.054805547,0.060775716,0.7808828
212474894,0.46548736,0.0027096735,-2.2269266,0.4908962,0.49335915,0.4898208,0.45926732,1.9161339,-0.78281784,-0.7857895,-0.7830181,-0.75434685,-2.307116,-0.9003792,-0.9036236,-0.8990431,-0.8597059,0.00012635505,0.092970505,0.048686907,0.05479911,0.80341715
212674851,0.47503236,0.0025468604,-2.2027795,0.50150824,0.503836,0.5001667,0.46935856,1.9956837,-0.744297,-0.74699783,-0.74414444,-0.71588326,-2.1611466,-0.8418579,-0.8449621,-0.84015465,-0.8000841,0.000104888095,0.083823964,0.04343759,0.049601663,0.82303196
