timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
133404848,15264851,49.0896256,2.1103528,-0.7449055,0.13925236,-0.55243057,0.0007406403,-0.003378704,0.0,0.02934244,0.00404331,-0.0069229747,-0.010318687,0.0024132254,-0.020157471,0.022179201,0.59798086,-0.11697295,-0.39642918,0.64928186,-0.0019224319,85.56228,0.101549834,0.23393968,0.39080954,0.12744069,0.105162695,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
133504849,15264851,49.0896256,2.1103528,-0.74146193,0.1394605,-0.552632,0.0007406403,-0.003378704,0.0,0.03315081,-0.0018824749,-0.0051901126,-0.00758923,0.0024132254,-0.020157471,0.022179201,0.034507792,0.6131372,0.23357432,0.6495327,-0.0019224319,85.56228,0.10137829,0.24285218,0.39507455,0.13196252,0.10683544,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
133604848,15264851,49.0896256,2.1103528,-0.73759305,0.13877074,-0.55028677,0.0007406403,-0.003378704,0.0,0.031446826,-0.0014925502,-0.0042895055,-0.0033847725,0.0024132254,-0.020157471,0.022179201,0.5219825,-0.39087468,0.3999835,0.6497891,-0.0019224319,85.56228,0.1070936,0.23386821,0.39245898,0.12748954,0.10535062,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
133704851,15264851,49.0896256,2.1103528,-0.7341634,0.13810237,-0.5479096,0.0007406403,-0.003378704,0.0,0.02877733,-0.00037609556,-0.0042811767,-0.0005819312,0.0024132254,-0.020157471,0.022179201,0.090231024,-0.089240685,-0.107252784,0.64995426,-0.0019224319,85.56228,0.10574761,0.24279062,0.39425647,0.1320042,0.10675494,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
133804848,15264851,49.0896256,2.1103528,-0.7315231,0.13927011,-0.5462277,0.0007406403,-0.003378704,0.0,0.027310582,0.0011870961,-0.0040722927,0.0013155385,0.0024132254,-0.020157471,0.022179201,-0.05903375,0.07888548,0.0059386683,0.65009725,-0.0019224319,85.56228,0.103281826,0.23372456,0.39165074,0.12747855,0.1052718,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
133904875,15264851,49.0896256,2.1103528,-0.72918135,0.14016818,-0.5450786,0.0007406403,-0.003378704,0.0,0.026635244,0.0013964409,-0.0038321547,0.0024876455,0.0024132254,-0.020157471,0.022179201,0.00019147959,0.013906465,0.22189678,0.6500015,-0.0019224319,85.56228,0.10218701,0.24265283,0.3934398,0.13202573,0.106673546,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
134004848,15264851,49.0896256,2.1103528,-0.7262919,0.14081828,-0.5446907,0.0007406403,-0.003378704,0.0,0.026575077,0.00021131996,-0.001648902,0.0047011734,0.0024132254,-0.020157471,0.022179201,-0.12344153,-0.07851367,-0.08891766,0.64998364,-0.0019224319,85.56228,0.100862294,0.23340927,0.39085338,0.12739015,0.10518309,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
134104861,15264851,49.0896256,2.1103528,-0.723599,0.14125131,-0.5438005,0.0007406403,-0.003378704,0.0,0.026672063,0.0013727196,-0.005747931,0.001266751,0.0024132254,-0.020157471,0.022179201,0.053075455,0.030693093,-0.15219702,0.6500808,-0.0019224319,85.56228,0.10344723,0.24232957,0.39263338,0.13191131,0.10658205,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
134604858,15264851,49.0896256,2.1103528,-0.7042257,0.14711729,-0.5370308,0.0007406403,-0.003378704,0.0,0.025490906,0.0039672228,-0.00382725,0.0066579725,0.0024132254,-0.020157471,0.022179201,-0.06249721,0.111595996,-0.5629765,0.64903754,-0.0019224319,85.56228,0.10362187,0.23230943,0.390912,0.1271111,0.105182774,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
134704851,15264851,49.0896256,2.1103528,-0.69981605,0.1488535,-0.5355804,0.0007406403,-0.003378704,0.0,0.026849506,0.0053855963,-0.002392337,0.008837862,0.0024132254,-0.020157471,0.022179201,0.10357293,0.022617811,0.62742436,0.6488172,-0.0019224319,85.56228,0.102270275,0.24120714,0.39269024,0.13163759,0.106581226,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
