timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
128864886,0.013791548,0.009407865,-0.006499558,5038,0,-0.25162998,-0.055069856,-9.873758,5038,0
128869848,0.011351621,0.009029044,-0.007398025,4962,0,-0.22909366,-0.07390291,-9.834167,4962,0
128874893,0.015622721,0.009917969,-0.008865567,5045,0,-0.21809494,-0.07369729,-9.7946825,5045,0
128879850,0.0087206215,0.010359688,-0.0073263273,4957,0,-0.20857899,-0.058048204,-9.756072,4957,0
128884857,0.007802813,0.008301402,-0.007262467,5007,0,-0.16885324,-0.051077705,-9.759898,5007,0
128889853,0.0038159029,0.00839667,-0.007511998,4996,0,-0.14775805,-0.07075349,-9.737194,4996,0
128894887,0.00041992753,0.005673308,-0.004617629,5034,0,-0.13691074,-0.0811973,-9.737973,5034,0
128899863,-0.00049451046,0.0058405735,-0.0038709505,4976,0,-0.15154755,-0.06674049,-9.730534,4976,0
128904884,0.002546144,0.0038758225,-0.0044265017,5021,0,-0.14987843,-0.10034719,-9.748128,5021,0
128909875,0.008038821,0.0008657606,-0.005858058,4991,0,-0.17002815,-0.11181082,-9.735061,4991,0
128914888,0.007588247,-0.0006799965,-0.0037788448,5013,0,-0.16614649,-0.11342256,-9.745208,5013,0
128919885,0.013586974,-0.0020038742,-0.0057200375,4997,0,-0.18413275,-0.09098202,-9.771062,4997,0
128924879,0.01248645,-0.0024945845,-0.004609068,4994,0,-0.19466443,-0.092455566,-9.861365,4994,0
128929897,0.014176008,-0.006393539,-0.001785093,5018,0,-0.19758287,-0.086169384,-9.825032,5018,0
128934894,0.012285598,-0.009353604,-0.0037444595,4997,0,-0.20323832,-0.08122852,-9.849225,4997,0
128939885,0.009934581,-0.009103141,-0.0025310733,4991,0,-0.21387583,-0.09328409,-9.878835,4991,0
128944875,0.0041711815,-0.011621292,-0.001726471,4990,0,-0.20208219,-0.07043565,-9.911143,4990,0
128949858,0.00452579,-0.01113073,-0.0022377712,4983,0,-0.19910166,-0.0898322,-9.9505625,4983,0
128954854,0.0038885747,-0.0127163725,-0.0012311814,4996,0,-0.23453808,-0.09198601,-9.9588175,4996,0
128959848,0.0045847907,-0.011794983,2.5088433e-05,4994,0,-0.26881173,-0.107979,-9.933859,4994,0
128964848,0.0047386,-0.01144719,0.00017520903,5000,0,-0.28332505,-0.094565205,-9.965001,5000,0
128969848,0.006991176,-0.010337025,-0.0014524129,5000,0,-0.28825545,-0.07567284,-9.933315,5000,0
128974852,0.0069129285,-0.008303346,-0.0017093503,5004,0,-0.3056644,-0.085537784,-9.9534645,5004,0
128979851,0.005587131,-0.005774928,-0.00039399051,4999,0,-0.28520152,-0.07209375,-9.95,4999,0
128984858,0.003218524,-0.006472085,0.00038490776,5007,0,-0.31558192,-0.07858523,-9.929556,5007,0
128989851,0.0021889445,-0.0036848409,-0.0021813477,4993,0,-0.2980992,-0.08708448,-9.9267845,4993,0
128994854,0.0023292967,-0.0038179576,-0.00013611098,5003,0,-0.29278916,-0.080265686,-9.901586,5003,0
128999889,0.0037554211,-0.0011376479,0.0011393786,5035,0,-0.29768598,-0.09120546,-9.913961,5035,0
129004851,0.004909428,-0.0007190367,-0.0012318667,4962,0,-0.3156803,-0.095413,-9.933613,4962,0
129009855,0.0029574842,0.00073804194,-0.0026857166,5004,0,-0.30961004,-0.12000498,-9.923226,5004,0
129014857,0.0044262074,0.0026466416,-0.0018206129,5002,0,-0.32253543,-0.11234046,-9.915971,5002,0
129019851,0.005030845,0.003364971,-0.0014057047,4994,0,-0.3240605,-0.10762353,-9.874361,4994,0
129024848,0.00035633604,0.0015461468,-0.000429805,4997,0,-0.29431617,-0.10034218,-9.833834,4997,0
129029848,-0.00022184949,0.0047240397,-0.0015967299,5000,0,-0.31008893,-0.09092373,-9.821927,5000,0
129034851,-0.0041697016,0.0043084933,0.00025567086,5003,0,-0.28638572,-0.09477328,-9.775824,5003,0
129039848,-0.0035332527,0.0031167672,-0.0013268096,4997,0,-0.285825,-0.11605082,-9.7621355,4997,0
129044863,-0.0016352081,0.00081278494,-0.00038136065,5015,0,-0.2664146,-0.10720001,-9.7443695,5015,0
129049848,-0.0024711431,0.0010647711,-3.2107815e-05,4985,0,-0.24477857,-0.11269164,-9.737376,4985,0
129054851,-0.0006160697,-0.0009032055,0.00021916306,5003,0,-0.23208576,-0.09435425,-9.739472,5003,0
129059848,-0.0012823965,-0.0026656135,-0.0014315257,4997,0,-0.20751326,-0.08948967,-9.73423,4997,0
129064848,-0.0009899875,-0.0023896834,0.00019551221,5000,0,-0.17265913,-0.10425093,-9.722626,5000,0
129069848,-0.002282482,-0.0064793844,0.0013455206,5000,0,-0.20791739,-0.078820646,-9.780664,5000,0
129074851,-0.0025391153,-0.004395913,3.096744e-05,5003,0,-0.18633367,-0.08325954,-9.791892,5003,0
129079848,-0.0016062565,-0.0023197432,0.0019560766,4997,0,-0.19602288,-0.07964758,-9.791402,4997,0
129084852,-0.006128298,-0.0013881442,0.00050050684,5004,0,-0.18608606,-0.079492904,-9.784768,5004,0
129089851,-0.004946005,-0.0022496963,0.00096598564,4999,0,-0.20062578,-0.0921606,-9.850779,4999,0
129094851,-0.005063601,-0.0051927073,0.0032260013,5000,0,-0.17012152,-0.09482728,-9.8318,5000,0
129099848,-0.005817815,-0.005304093,0.0020467753,4997,0,-0.176472,-0.08162053,-9.857345,4997,0
129104886,-0.004720109,-0.0032504774,0.0027805488,5038,0,-0.20826858,-0.075147144,-9.907456,5038,0
129109848,-0.0026792965,-0.0021065269,0.002915428,4962,0,-0.17615025,-0.09043613,-9.899124,4962,0
129134863,-0.009515057,0.00081523915,0.0019534274,5015,0,-0.20766318,-0.039167084,-9.890072,5015,0
129139852,-0.0059811813,-0.0017847049,0.0023336464,4989,0,-0.22160849,-0.04900567,-9.891364,4989,0
129144852,-0.007992533,-0.0024557917,0.002934678,5000,0,-0.23517278,-0.036439985,-9.867535,5000,0
129149848,-0.005390622,-0.0016702072,-0.0005977597,4996,0,-0.23524405,-0.04308744,-9.897038,4996,0
129154851,-0.0060158293,-0.003483555,-0.0011857903,5003,0,-0.26930577,-0.059048977,-9.934334,5003,0
129159851,-0.0054865642,-0.0038516547,0.0010120654,5000,0,-0.29340145,-0.040978916,-9.907905,5000,0
129164848,-0.004972543,-0.0027750912,-0.0011706522,4997,0,-0.31357265,-0.043735158,-9.899803,4997,0
129169848,-0.006356066,0.0008281862,-0.002519736,5000,0,-0.2954286,-0.06660721,-9.881228,5000,0
129174851,-0.007718663,-0.0009826168,-0.0029937015,5003,0,-0.28146046,-0.04907231,-9.885915,5003,0
129179848,-0.006184555,-0.0011006544,-0.00026369558,4997,0,-0.28555515,-0.034364447,-9.90341,4997,0
129184848,-0.0073224735,0.00028100854,-0.00020617837,5000,0,-0.27967176,-0.046757475,-9.830057,5000,0
129189858,-0.0067653256,0.0014565428,-0.001317375,5010,0,-0.2746694,-0.069137245,-9.819071,5010,0
129194851,-0.005322069,-0.0004024547,-0.0046109813,4993,0,-0.26796013,-0.048405446,-9.85183,4993,0
129199848,-0.007261407,-0.002036228,-0.0037421214,4997,0,-0.26053247,-0.0544259,-9.823016,4997,0
129204848,-0.0034539308,-0.00014015984,-0.0027844734,5000,0,-0.24278583,-0.07416162,-9.8256855,5000,0
129209889,-0.0068411846,-0.0017677497,-0.00249689,5041,0,-0.2268102,-0.048286323,-9.814896,5041,0
129214851,-0.008037119,-1.0931297e-05,-0.002148477,4962,0,-0.22027192,-0.04249345,-9.840909,4962,0
129219848,-0.0069251517,0.00034741499,-0.004657228,4997,0,-0.23600613,-0.036758155,-9.8015585,4997,0
129224856,-0.00762294,-0.0030994094,-0.0025395136,5008,0,-0.23192106,-0.046807088,-9.814122,5008,0
129229849,-0.005396091,-0.0036599871,-0.0024281335,4993,0,-0.2516704,-0.060497537,-9.855039,4993,0
129234860,-0.00514579,-0.0026431745,-0.0036934153,5011,0,-0.25938162,-0.034313194,-9.864813,5011,0
129239848,-0.0063920994,-0.0013804807,-0.0035935077,4988,0,-0.25380364,-0.040989902,-9.863322,4988,0
129244851,-0.004355793,0.00028337422,-0.0043832883,5003,0,-0.24461228,-0.07243687,-9.843719,5003,0
129249848,-0.0023387163,-1.6231164e-05,-0.0023987293,4997,0,-0.2359927,-0.053148348,-9.841162,4997,0
129254851,-0.0020746225,0.00032806225,-0.0040963553,5003,0,-0.2348943,-0.056466043,-9.857568,5003,0
129259849,-0.0006602814,-0.0014541053,-0.003483495,4998,0,-0.2578652,-0.04864319,-9.83921,4998,0
129264853,-0.0015821777,-0.003586322,-0.0059494544,5004,0,-0.24515279,-0.045239907,-9.855769,5004,0
129269848,-0.0032279196,-0.001710478,-0.0053153676,4995,0,-0.24860679,-0.04189119,-9.853161,4995,0
129274853,-0.0047991057,-0.0019113172,-0.0043058204,5005,0,-0.23217341,-0.06827538,-9.843421,5005,0
129279849,-0.0023504794,-0.0014540417,-0.0028330192,4996,0,-0.22522594,-0.053570982,-9.836247,4996,0
129284900,-0.0052481573,0.0016696493,-0.002159623,5051,0,-0.21175975,-0.049055107,-9.828303,5051,0
129289850,-0.006062614,0.0009182327,-0.0032134338,4950,0,-0.21802041,-0.07738035,-9.840502,4950,0
129294851,-0.0020299095,-0.0015691649,-0.003960859,5001,0,-0.22667862,-0.06748882,-9.849889,5001,0
129299849,-0.0013425446,0.00012484119,-0.004107698,4998,0,-0.21677229,-0.08076798,-9.877431,4998,0
129304848,0.000504565,0.001452275,-0.0035246415,4999,0,-0.20936255,-0.07582642,-9.849908,4999,0
129309848,-0.00027943382,0.00058323226,-0.0030756015,5000,0,-0.2474288,-0.052886467,-9.857984,5000,0
129314895,0.0028264017,0.0007111391,-0.002809899,5047,0,-0.23451382,-0.06893373,-9.84807,5047,0
129319851,0.001618174,0.0020445455,-0.00280928,4956,0,-0.23667434,-0.053220585,-9.874892,4956,0
129324853,0.0045871665,0.0022800285,-0.0027507371,5002,0,-0.22784378,-0.07125306,-9.860835,5002,0
129329852,0.004404391,0.0003128777,-0.0014345645,4999,0,-0.23289424,-0.073272936,-9.857071,4999,0
129334887,0.0005029367,0.0019428766,0.0010190026,5035,0,-0.24549912,-0.06136557,-9.843813,5035,0
129339854,0.0032305182,0.0017741076,-1.0662297e-05,4967,0,-0.25730568,-0.059046872,-9.854017,4967,0
129344863,0.0028294346,0.0012722629,1.3601428e-05,5009,0,-0.2576164,-0.055598505,-9.8636,5009,0
129349859,0.0023154968,0.001706001,-6.313336e-05,4996,0,-0.24667062,-0.06146116,-9.831698,4996,0
129354861,0.0039231842,0.00018229768,-7.30765e-06,5002,0,-0.26973668,-0.04385074,-9.802099,5002,0
129359848,0.004101197,-0.0006851182,0.0017144041,4987,0,-0.26359746,-0.050423115,-9.790378,4987,0
129364848,0.0057058595,0.00019916431,3.78091e-05,5000,0,-0.25920773,-0.048426833,-9.805888,5000,0
129369848,0.0050690235,0.0020864257,0.0020468852,5000,0,-0.23470348,-0.043202676,-9.806035,5000,0
129374859,0.005675692,0.00036843153,-0.00030470605,5011,0,-0.23206006,-0.04566286,-9.842392,5011,0
129379848,0.0043898886,0.001579877,-0.0008173464,4989,0,-0.22728947,-0.028770935,-9.843842,4989,0
129384865,0.006284997,0.0012276758,-9.459144e-05,5017,0,-0.23982197,-0.04681199,-9.838561,5017,0
129389859,0.0068780784,0.0014908893,-0.000121328034,4994,0,-0.23858254,-0.061970465,-9.847011,4994,0
