timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
96229568,96229568,45,0,0,0,1544,1444,1094,1565,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
96729963,96729963,45,0,0,0,1549,1444,1094,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
97229722,97229722,45,0,0,0,1557,1443,1094,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
97715823,97715823,45,0,0,0,1553,1450,1094,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
98229782,98229782,45,0,0,0,1541,1453,1094,1540,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
98715615,98715615,45,0,0,0,1538,1502,1094,1587,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
99219809,99219809,45,0,0,0,1555,1513,1094,1600,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
99715826,99715826,45,0,0,0,1545,1495,1094,1591,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
100229886,100229886,45,0,0,0,1530,1483,1094,1585,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
100729969,100729969,45,0,0,0,1537,1486,1094,1615,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
101219901,101219901,45,0,0,0,1532,1494,1094,1612,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
101710019,101710019,45,0,0,0,1533,1482,1094,1562,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
102209934,102209934,45,0,0,0,1532,1484,1094,1567,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
102716298,102716298,45,0,0,0,1531,1487,1094,1581,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
103216059,103216059,45,0,0,0,1536,1485,1094,1561,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
103726349,103726349,45,0,0,0,1537,1448,1094,1519,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
104220082,104220082,45,0,0,0,1548,1447,1094,1485,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
104716237,104716237,45,0,0,0,1549,1448,1094,1504,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
105229901,105229901,45,0,0,0,1538,1445,1094,1522,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
105719725,105719725,45,0,0,0,1541,1444,1094,1550,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
107728819,107728819,45,0,0,0,1557,1449,1094,1523,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
108215519,108215519,45,0,0,0,1536,1444,1094,1507,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
108706363,108706363,45,0,0,0,1514,1444,1094,1418,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
109215862,109215862,45,0,0,0,1522,1444,1094,1408,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
109716525,109716525,45,0,0,0,1518,1445,1094,1423,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
110229901,110229901,45,0,0,0,1514,1444,1094,1399,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
110726116,110726116,45,0,0,0,1514,1444,1094,1360,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
111229801,111229801,45,0,0,0,1514,1444,1094,1335,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
111715656,111715656,45,0,0,0,1514,1444,1094,1335,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
112209795,112209795,45,0,0,0,1523,1444,1094,1258,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
112726096,112726096,45,0,0,0,1538,1443,1094,1277,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
113226233,113226233,45,0,0,0,1558,1443,1094,1320,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
113729767,113729767,45,0,0,0,1562,1443,1094,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
114219669,114219669,45,0,0,0,1567,1444,1094,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
114726413,114726413,45,0,0,0,1561,1434,1200,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
115226747,115226747,45,0,0,0,1547,1432,1428,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
115709722,115709722,45,0,0,0,1514,1448,1428,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
116219718,116219718,45,0,0,0,1514,1444,1428,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
116709916,116709916,45,0,0,0,1514,1444,1385,1597,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
117220155,117220155,45,0,0,0,1514,1444,1313,1526,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
117726201,117726201,45,0,0,0,1514,1444,1300,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
