timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
122041404,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
122541443,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
123045714,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
123546250,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
124047231,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
124556581,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
125065802,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
125570686,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
126081395,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
126590645,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
127101081,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
127611168,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
129132253,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
129637327,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
130137507,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
130649016,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
131159080,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
131665694,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
132166909,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
132677470,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
133180184,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
133688922,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
134197507,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
134702505,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
135210192,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
135719174,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
136224997,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
136728947,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
137230232,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
137739084,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
138239302,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
138747218,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
139259266,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
140270179,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
140772168,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
141279436,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
141787133,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
142287225,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
142792319,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
