timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
122122394,0.10716581,-0.027786873,0.16156574,-0.9806325,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122127396,0.10703791,-0.027311582,0.16141127,-0.98068523,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122132372,0.106862076,-0.026265284,0.16169745,-0.98068583,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122137393,0.106732234,-0.025911007,0.16152653,-0.9807375,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122142393,0.106542796,-0.024946935,0.16173802,-0.98074824,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122147393,0.106404684,-0.024396908,0.16176759,-0.9807722,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122152404,0.10623869,-0.023745421,0.16172606,-0.980813,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122157385,0.10606202,-0.022867303,0.16193414,-0.9808187,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122162391,0.105914675,-0.022494858,0.16178961,-0.9808671,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122167392,0.10570771,-0.021454684,0.16205463,-0.98086894,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122172396,0.105560906,-0.021097817,0.16192526,-0.9809139,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122177371,0.10537,-0.020239461,0.16201958,-0.9809369,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122182378,0.105191395,-0.019607529,0.16206475,-0.98096144,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122187350,0.105008885,-0.019095585,0.16192797,-0.9810137,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122192362,0.10479698,-0.018185856,0.16205825,-0.9810322,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122197347,0.10463685,-0.017892068,0.16178833,-0.9810992,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122202347,0.10442054,-0.01694322,0.16188933,-0.9811224,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122207347,0.10423228,-0.01658048,0.16165003,-0.98118806,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
