timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
109625660,21.4512,21.370777,0.0,0.0,0.0,0.0,0.32359105,1.087577,nan,6,3.5617962,3.5617962,3.5617962,3.5617962,3.5617962,3.5617962,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
109925742,21.3282,21.37295,0.0,0.0,0.0,0.0,0.32431537,1.087475,nan,6,3.5621583,3.5621583,3.5621583,3.5621583,3.5621583,3.5621583,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
110225546,21.3938,21.375212,0.0,0.0,0.0,0.0,0.32506925,1.0873688,nan,6,3.5625353,3.5625353,3.5625353,3.5625353,3.5625353,3.5625353,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
110525478,21.2708,21.380718,0.0,0.0,0.0,0.0,0.3269046,1.0871106,nan,6,3.563453,3.563453,3.563453,3.563453,3.563453,3.563453,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
110825217,21.492199,21.382853,0.0,0.0,0.0,0.0,0.32761604,1.0870105,nan,6,3.5638087,3.5638087,3.5638087,3.5638087,3.5638087,3.5638087,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
111125227,21.492199,21.376583,0.0,0.0,0.0,0.0,0.32552654,1.0873045,nan,6,3.562764,3.562764,3.562764,3.562764,3.562764,3.562764,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
111425567,21.4102,21.377018,0.0,0.0,0.0,0.0,0.3256715,1.0872841,nan,6,3.5628364,3.5628364,3.5628364,3.5628364,3.5628364,3.5628364,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
111725252,21.2708,21.379238,0.0,0.0,0.0,0.0,0.32641155,1.08718,nan,6,3.5632064,3.5632064,3.5632064,3.5632064,3.5632064,3.5632064,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
112025578,21.3528,21.355576,0.0,0.0,0.0,0.0,0.3185237,1.088291,nan,6,3.5592625,3.5592625,3.5592625,3.5592625,3.5592625,3.5592625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
112325232,21.229801,21.355087,0.0,0.0,0.0,0.0,0.3183611,1.0883139,nan,6,3.5591812,3.5591812,3.5591812,3.5591812,3.5591812,3.5591812,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
