timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
85177362,32767,32767,32767,32767,-13,32767
85182350,-15,32767,32767,32767,32767,32767
85187361,32767,32767,32767,32767,32767,32767
85192385,-8,32767,32767,32767,32767,32767
85197350,32767,32767,32767,32767,-14,32767
85202354,0,32767,32767,-15,32767,32767
85207350,32767,32767,32767,32767,32767,32767
85212368,8,32767,32767,32767,32767,32767
85217350,32767,32767,32767,32767,-13,32767
85222350,32767,32767,32767,32767,32767,32767
85227360,-34,32767,32767,32767,32767,32767
85232358,32767,32767,32767,32767,32767,32767
85237347,-27,32767,32767,32767,-13,32767
85242364,32767,32767,32767,32767,32767,32767
85247356,-19,32767,32767,32767,32767,32767
85252391,32767,32767,32767,-13,32767,32767
85257347,-11,32767,32767,32767,-13,32767
85262347,32767,32767,32767,32767,32767,32767
85267384,-3,32767,32767,32767,32767,32767
85272391,32767,32767,32767,32767,32767,32767
85277360,4,32767,32767,32767,-13,32767
85282353,32767,32767,32767,32767,32767,32767
85287363,32767,32767,32767,32767,32767,32767
85292392,-39,32767,32767,32767,32767,32767
85297389,32767,32767,32767,32767,-12,32767
85302389,-32,32767,32767,32767,32767,32767
85307347,32767,32767,32767,32767,32767,32767
85312391,-24,32767,32767,-10,32767,32767
85317388,32767,32767,32767,32767,-13,32767
85322356,-17,32767,32767,32767,32767,32767
85327352,32767,32767,32767,32767,32767,32767
85332391,-10,32767,32767,32767,32767,32767
85337356,32767,32767,32767,32767,-13,32767
85342360,-3,32767,32767,32767,32767,32767
85347353,32767,32767,32767,32767,32767,32767
85352396,4,32767,32767,32767,32767,32767
85357357,32767,32767,32767,32767,-13,32767
85362379,32767,32767,32767,-7,32767,32767
85367396,-37,32767,32767,32767,32767,32767
85372394,32767,32767,32767,32767,32767,32767
85377362,-30,32767,32767,32767,-12,32767
85382372,32767,32767,32767,32767,32767,32767
85387369,-22,32767,32767,32767,32767,32767
85392394,32767,32767,32767,32767,32767,32767
85397365,-15,32767,32767,32767,-14,32767
85402420,32767,32767,32767,32767,32767,32767
85407362,-8,32767,32767,32767,32767,32767
85412396,32767,32767,32767,-4,32767,32767
85417373,-1,32767,32767,32767,-14,32767
85422412,32767,32767,32767,32767,32767,32767
85427370,32767,32767,32767,32767,32767,32767
85432423,-43,32767,32767,32767,32767,32767
85437382,32767,32767,32767,32767,-14,32767
85442395,-35,32767,32767,32767,32767,32767
85447384,32767,32767,32767,32767,32767,32767
85452402,-29,32767,32767,32767,32767,32767
85457397,32767,32767,32767,32767,-14,32767
85462395,-21,32767,32767,32767,32767,32767
85467422,32767,32767,32767,32767,32767,32767
85472396,-14,32767,32767,3,32767,32767
85477387,32767,32767,32767,32767,-12,32767
85482389,-7,32767,32767,32767,32767,32767
85487379,32767,32767,32767,32767,32767,32767
85492395,1,32767,32767,32767,32767,32767
85497392,32767,32767,32767,32767,-14,32767
85502400,32767,32767,32767,32767,32767,32767
85507423,-43,32767,32767,32767,32767,32767
85512405,32767,32767,32767,32767,32767,32767
85517398,-35,32767,32767,32767,-14,32767
85522405,32767,32767,32767,7,32767,32767
85527396,-28,32767,32767,32767,32767,32767
85532420,32767,32767,32767,32767,32767,32767
85537402,-22,32767,32767,32767,-13,32767
85542423,32767,32767,32767,32767,32767,32767
85547391,-11,32767,32767,32767,32767,32767
85552410,32767,32767,32767,32767,32767,32767
85557412,-5,32767,32767,32767,-15,32767
85562424,32767,32767,32767,32767,32767,32767
85567433,2,32767,32767,32767,32767,32767
85572433,32767,32767,32767,8,32767,32767
85577401,32767,32767,32767,32767,-15,32767
85582413,-40,32767,32767,32767,32767,32767
85587414,32767,32767,32767,32767,32767,32767
85592430,-33,32767,32767,32767,32767,32767
85597418,32767,32767,32767,32767,-15,32767
85602412,-26,32767,32767,32767,32767,32767
85607407,32767,32767,32767,32767,32767,32767
85612449,-18,32767,32767,32767,32767,32767
85617410,32767,32767,32767,32767,-15,32767
85622414,-11,32767,32767,32767,32767,32767
85627419,32767,32767,32767,32767,32767,32767
85632409,-4,32767,32767,32767,32767,32767
85637416,32767,32767,32767,-35,-15,32767
85642416,3,32767,32767,32767,32767,32767
85647347,32767,32767,32767,32767,32767,32767
85652421,32767,32767,32767,32767,32767,32767
85657443,-40,32767,32767,32767,-15,32767
85662428,32767,32767,32767,32767,32767,32767
85667466,-33,32767,32767,32767,32767,32767
85672452,32767,32767,32767,32767,32767,32767
85677456,-25,32767,32767,32767,-15,32767
85682445,32767,32767,32767,32767,32767,32767
85687447,-18,32767,32767,-31,32767,32767
85692446,32767,32767,32767,32767,32767,32767
85697434,-10,32767,32767,32767,-15,32767
85702431,32767,32767,32767,32767,32767,32767
85707437,-3,32767,32767,32767,32767,32767
85712451,32767,32767,32767,32767,32767,32767
85717475,6,32767,32767,32767,-14,32767
85722350,32767,32767,32767,32767,32767,32767
85727350,32767,32767,32767,32767,32767,32767
85732354,-36,32767,32767,32767,32767,32767
85737442,32767,32767,32767,32767,-15,32767
85742351,-29,32767,32767,32767,32767,32767
85747347,32767,32767,32767,32767,32767,32767
85752450,-22,32767,32767,32767,32767,32767
85757440,32767,32767,32767,-34,-15,32767
85762350,-12,32767,32767,32767,32767,32767
85767350,32767,32767,32767,32767,32767,32767
85772358,-5,32767,32767,32767,32767,32767
85777353,32767,32767,32767,32767,-14,32767
85782350,2,32767,32767,32767,32767,32767
85787458,32767,32767,32767,32767,32767,32767
85792453,32767,32767,32767,32767,32767,32767
85797351,-41,32767,32767,32767,-14,32767
85802350,32767,32767,32767,32767,32767,32767
85807350,-33,32767,32767,-29,32767,32767
85812457,32767,32767,32767,32767,32767,32767
85817350,-26,32767,32767,32767,-14,32767
85822464,32767,32767,32767,32767,32767,32767
85827350,-18,32767,32767,32767,32767,32767
85832468,32767,32767,32767,32767,32767,32767
85837347,-11,32767,32767,32767,-14,32767
85842356,32767,32767,32767,32767,32767,32767
85847347,-3,32767,32767,32767,32767,32767
85852462,32767,32767,32767,32767,32767,32767
85857347,6,32767,32767,-23,-14,32767
85862347,32767,32767,32767,32767,32767,32767
85867347,32767,32767,32767,32767,32767,32767
85872462,-38,32767,32767,32767,32767,32767
85877347,32767,32767,32767,32767,-14,32767
85882347,-30,32767,32767,32767,32767,32767
85887347,32767,32767,32767,32767,32767,32767
85892462,-24,32767,32767,32767,32767,32767
85897354,32767,32767,32767,32767,-12,32767
85902347,-16,32767,32767,32767,32767,32767
85907347,32767,32767,32767,32767,32767,32767
85912462,-10,32767,32767,32767,32767,32767
85917347,32767,32767,32767,-18,-14,32767
85922347,-2,32767,32767,32767,32767,32767
85927376,32767,32767,32767,32767,32767,32767
85932367,6,32767,32767,32767,32767,32767
85937347,32767,32767,32767,32767,-14,32767
85942347,32767,32767,32767,32767,32767,32767
85947349,-37,32767,32767,32767,32767,32767
85952396,32767,32767,32767,32767,32767,32767
85957363,-30,32767,32767,32767,-14,32767
85962347,32767,32767,32767,32767,32767,32767
85967351,-23,32767,32767,-16,32767,32767
85972397,32767,32767,32767,32767,32767,32767
85977347,-15,32767,32767,32767,-14,32767
85982347,32767,32767,32767,32767,32767,32767
85987347,-8,32767,32767,32767,32767,32767
85992399,32767,32767,32767,32767,32767,32767
85997349,-1,32767,32767,32767,-14,32767
86002347,32767,32767,32767,32767,32767,32767
86007368,6,32767,32767,32767,32767,32767
86012389,32767,32767,32767,32767,32767,32767
86017347,32767,32767,32767,-14,-13,32767
86022347,-37,32767,32767,32767,32767,32767
86027347,32767,32767,32767,32767,32767,32767
86032381,-29,32767,32767,32767,32767,32767
86037347,32767,32767,32767,32767,-14,32767
86042350,-22,32767,32767,32767,32767,32767
86047347,32767,32767,32767,32767,32767,32767
86052358,-15,32767,32767,32767,32767,32767
86057347,32767,32767,32767,32767,-14,32767
86062347,-9,32767,32767,32767,32767,32767
86067357,32767,32767,32767,32767,32767,32767
86072364,-1,32767,32767,32767,32767,32767
86077347,32767,32767,32767,-10,-14,32767
86082391,7,32767,32767,32767,32767,32767
86087347,32767,32767,32767,32767,32767,32767
86092369,32767,32767,32767,32767,32767,32767
86097349,-36,32767,32767,32767,-14,32767
86102347,32767,32767,32767,32767,32767,32767
86107347,-29,32767,32767,32767,32767,32767
86112396,32767,32767,32767,32767,32767,32767
86117347,-22,32767,32767,32767,-14,32767
86122347,32767,32767,32767,32767,32767,32767
86127368,-15,32767,32767,-8,32767,32767
86132396,32767,32767,32767,32767,32767,32767
86137379,-8,32767,32767,32767,-14,32767
86142347,32767,32767,32767,32767,32767,32767
86147351,0,32767,32767,32767,32767,32767
86152399,32767,32767,32767,32767,32767,32767
86157350,32767,32767,32767,32767,-14,32767
86162347,-43,32767,32767,32767,32767,32767
86167347,32767,32767,32767,32767,32767,32767
86172399,-35,32767,32767,32767,32767,32767
86177350,32767,32767,32767,-6,-14,32767
86182347,-29,32767,32767,32767,32767,32767
86187349,32767,32767,32767,32767,32767,32767
86192396,-21,32767,32767,32767,32767,32767
86197350,32767,32767,32767,32767,-14,32767
86202347,-14,32767,32767,32767,32767,32767
86207357,32767,32767,32767,32767,32767,32767
86212369,-7,32767,32767,32767,32767,32767
86217350,32767,32767,32767,32767,-14,32767
86222347,-1,32767,32767,32767,32767,32767
86227347,32767,32767,32767,32767,32767,32767
86232357,7,32767,32767,32767,32767,32767
86237349,32767,32767,32767,-1,-14,32767
86242392,32767,32767,32767,32767,32767,32767
86247347,-36,32767,32767,32767,32767,32767
86252369,32767,32767,32767,32767,32767,32767
86257369,-29,32767,32767,32767,-14,32767
86262347,32767,32767,32767,32767,32767,32767
86267347,-22,32767,32767,32767,32767,32767
86272396,32767,32767,32767,32767,32767,32767
86277363,-15,32767,32767,32767,-14,32767
86282373,32767,32767,32767,32767,32767,32767
86292396,32767,32767,32767,32767,32767,32767
