timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch
172859912,-0.0,0.17917676,0.8831325,-0.14841849,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
172887662,-0.0,0.17191283,0.8831325,-0.14841849,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
172909732,-0.0,0.15738499,0.8831325,-0.14841849,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
172935816,-0.0,0.14043583,0.8831325,-0.14841849,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
172959901,-0.0,0.13801453,0.8831325,-0.14841849,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
172996242,0.019559903,0.11622276,0.8831325,-0.14841849,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173007681,0.024449877,0.111380145,0.8831325,-0.1459854,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173036062,0.03422983,0.0968523,0.8831325,-0.14111923,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173056081,0.036674816,0.08958838,0.8831325,-0.14111923,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173076670,0.04645477,0.065375306,0.8831325,-0.14111923,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173099904,0.05378973,0.05811138,0.8831325,-0.14111923,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173119963,0.07090464,0.046004843,0.8831325,-0.14111923,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173139922,0.07334963,0.043583535,0.8831325,-0.14111923,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173160017,0.080684595,0.043583535,0.8831325,-0.13868614,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173187711,0.080684595,0.043583535,0.8831325,-0.13625304,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173209810,0.080684595,0.043583535,0.8831325,-0.13625304,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
173236308,0.083129585,0.043583535,0.8831325,-0.13381995,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0
