timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
210828852,49.0896484793949,2.1103798029936223,86.24085,132.88419,-0.0,0.6344286,0.9322576,86.1488,2,0,1,0
211028849,49.08964849885206,2.1103798942761745,86.241165,132.88182,-0.0,0.6344337,0.931966,86.1505,2,0,1,0
211228853,49.089648521679806,2.110379985054507,86.23964,132.87755,-0.0,0.6344384,0.9316754,86.14128,2,0,1,0
211428849,49.08964853372998,2.110380066953431,86.23651,132.87177,-0.0,0.6344428,0.93240726,86.14251,2,0,1,0
211628858,49.08964856542484,2.1103801330841434,86.23564,132.86835,-0.0,0.63444686,0.93210155,86.14196,2,0,1,0
211828848,49.089648602004075,2.1103801975843344,86.23609,132.86613,-0.0,0.6344506,0.93179774,86.144035,2,0,1,0
212028877,49.089648633384805,2.1103802411432353,86.23734,132.86485,-0.0,0.6344541,0.9325234,86.142654,2,0,1,0
212228932,49.08964864444006,2.110380263348329,86.23975,132.86479,-0.0,0.6344573,0.9322195,86.146255,2,0,1,0
212428849,49.089648637339714,2.110380270322224,86.23872,132.86133,-0.0,0.6344601,0.9319172,86.13928,2,0,1,0
212628888,49.08964863175742,2.110380281329838,86.23567,132.85605,-0.0,0.6344626,0.93264717,86.135,2,0,1,0
212828852,49.089648649768286,2.1103802960044358,86.23611,132.85423,-0.0,0.63446486,0.9323479,86.140526,2,0,1,0
213028851,49.089648701800385,2.110380320920443,86.23486,132.85077,-0.0,0.6344668,0.9320363,86.13497,2,0,1,0
213228849,49.089648756149266,2.1103803687815086,86.23808,132.85179,-0.0,0.6344685,0.93275654,86.14631,2,0,1,0
213428849,49.0896488074706,2.1103804408776465,86.24461,132.85611,-0.0,0.63447,0.9324455,86.15165,2,0,1,0
213628857,49.089648872116776,2.110380528755043,86.24847,132.85757,-0.0,0.63447124,0.93213654,86.15141,2,0,1,0
213828898,49.08964894347735,2.11038060676422,86.250015,132.85667,-0.0,0.6344724,0.9318297,86.14835,2,0,1,0
214028854,49.08964900310083,2.1103806626992685,86.246826,132.85062,-0.0,0.63451374,0.9325564,86.141815,2,0,1,0
214228849,49.08964905628648,2.1103806907649822,86.24556,132.84622,-0.0,0.6345107,0.9322497,86.143715,2,0,1,0
214428849,49.089649083864536,2.1103806789126116,86.242836,132.84036,-0.0,0.6345077,0.9319484,86.13806,2,0,1,0
214628890,49.08964910542822,2.1103806515539976,86.23753,132.83156,-0.0,0.6345048,0.9316521,86.13236,2,0,1,0
214828861,49.089649147825554,2.110380619244877,86.23468,132.82507,-0.0,0.63446146,0.9323785,86.13611,2,0,1,0
215028849,49.08964919130995,2.1103805686530444,86.23392,132.8207,-0.0,0.6344626,0.9320814,86.136566,2,0,1,0
215228850,49.08964921844411,2.1103804821244494,86.23459,132.81732,-0.0,0.6344637,0.9317856,86.13748,2,0,1,0
215428854,49.08964926268215,2.1103804082666895,86.232834,132.8115,-0.0,0.6345051,0.9325218,86.13396,2,0,1,0
215628849,49.089649300515646,2.11038035014438,86.23569,132.81023,-0.0,0.6345023,0.9322251,86.14325,2,0,1,0
215828849,49.08964933326749,2.1103802773081632,86.23739,132.80795,-0.0,0.6344996,0.93192965,86.13995,2,0,1,0
216028849,49.0896493549598,2.110380217627395,86.23817,132.80505,-0.0,0.6344971,0.93265575,86.14154,2,0,1,0
216228876,49.08964937061315,2.110380189921732,86.24014,132.80344,-0.0,0.6344947,0.93232846,86.144,2,0,1,0
216428857,49.08964938842996,2.110380173773725,86.24177,132.80139,-0.0,0.63449264,0.9320043,86.144066,2,0,1,0
216628850,49.08964941128767,2.1103801638138044,86.238884,132.79514,-0.0,0.63449067,0.9327153,86.135056,2,0,1,0
216828849,49.08964942067151,2.110380130149245,86.23418,132.787,-0.0,0.6344888,0.93239295,86.132385,2,0,1,0
217028851,49.089649421806804,2.1103800636452323,86.23108,132.78079,-0.0,0.63448715,0.9320735,86.13191,2,0,1,0
217228849,49.08964940518959,2.1103799836387576,86.23146,132.77847,-0.0,0.6344452,0.9327876,86.13561,2,0,1,0
217428852,49.0896493649685,2.1103799039073445,86.23182,132.77647,-0.0,0.6344477,0.932473,86.13562,2,0,1,0
217628879,49.08964932880093,2.1103798330618995,86.23644,132.77876,-0.0,0.63445014,0.93216085,86.1422,2,0,1,0
217828854,49.0896492908473,2.1103797800276927,86.243935,132.78415,-0.0,0.63445264,0.9328732,86.15412,2,0,1,0
218028850,49.08964926220574,2.1103797619414735,86.253075,132.79106,-0.0,0.634455,0.9325486,86.161255,2,0,1,0
218228849,49.08964922224737,2.11037974834737,86.25929,132.79495,-0.0,0.6344976,0.9322267,86.15924,2,0,1,0
218428852,49.08964920255657,2.1103797559433675,86.26042,132.79367,-0.0,0.6344959,0.9319083,86.15791,2,0,1,0
218628852,49.08964919787697,2.110379783524597,86.26338,132.79465,-0.0,0.63449425,0.9326228,86.161385,2,0,1,0
218828890,49.089649189183525,2.110379789765091,86.26148,132.79095,-0.0,0.63449264,0.93230605,86.15081,2,0,1,0
219028849,49.0896491961177,2.1103797736825824,86.25653,132.78429,-0.0,0.63449115,0.93199545,86.14871,2,0,1,0
219228849,49.08964920402637,2.1103797592633278,86.25513,132.78134,-0.0,0.6344898,0.93271947,86.152245,2,0,1,0
219828851,49.08964916633123,2.110379877596782,86.24535,132.7675,-0.0,0.63452274,0.9318027,86.14043,2,0,1,0
220028853,49.08964916636235,2.110379930991199,86.242615,132.7633,-0.0,0.63451815,0.9325302,86.139694,2,0,1,0
220228849,49.08964917897321,2.110379986841191,86.23772,132.75711,-0.0,0.63451374,0.9322246,86.13264,2,0,1,0
220428856,49.08964919589059,2.1103800401701007,86.23821,132.75644,-0.0,0.6345096,0.93192434,86.14549,2,0,1,0
220628849,49.08964920280762,2.110380062971091,86.23874,132.75581,-0.0,0.63450587,0.9316292,86.13907,2,0,1,0
220828849,49.08964921876868,2.1103800719225227,86.23573,132.75156,-0.0,0.6345024,0.93235916,86.133286,2,0,1,0
221028851,49.08964923981995,2.110380080192929,86.2328,132.74753,-0.0,0.6344993,0.9320633,86.13264,2,0,1,0
221228871,49.08964925236859,2.1103800883454795,86.22936,132.74295,-0.0,0.63449645,0.9317686,86.12504,2,0,1,0
221428850,49.08964926204622,2.1103801024438438,86.22961,132.74216,-0.0,0.6344939,0.93250245,86.13593,2,0,1,0
221628849,49.08964928048484,2.110380112259641,86.23376,132.74535,-0.0,0.63449156,0.9322068,86.13965,2,0,1,0
222228941,49.08964930129284,2.1103802510366383,86.249,132.75607,-0.0,0.6345265,0.9323363,86.146416,2,0,1,0
222428849,49.08964932465984,2.110380331285388,86.24802,132.75328,-0.0,0.63456166,0.93201506,86.14424,2,0,1,0
222628869,49.08964935557637,2.1103803914441004,86.24648,132.74973,-0.0,0.6345934,0.93273294,86.14411,2,0,1,0
222828852,49.089649396714044,2.11038043428268,86.24566,132.74657,-0.0,0.63458127,0.9324103,86.14205,2,0,1,0
223028893,49.08964943691795,2.1103804779921784,86.242355,132.74089,-0.0,0.63456994,0.9320939,86.1397,2,0,1,0
223228849,49.089649478853275,2.110380547239844,86.238525,132.73463,-0.0,0.63455945,0.9328111,86.1338,2,0,1,0
223428849,49.08964952828456,2.1103806220338637,86.23256,132.72578,-0.0,0.6345497,0.9324959,86.12726,2,0,1,0
223628851,49.08964956426022,2.1103806796780415,86.22801,132.7184,-0.0,0.63454074,0.932183,86.124565,2,0,1,0
223828913,49.08964959437055,2.1103807368376577,86.22341,132.7108,-0.0,0.6345326,0.93288815,86.1217,2,0,1,0
224028849,49.08964962515199,2.110380783932615,86.218475,132.70294,-0.0,0.63448465,0.93253917,86.11523,2,0,1,0
224228858,49.08964964591597,2.110380826987318,86.21284,132.69455,-0.0,0.63448185,0.93220115,86.11479,2,0,1,0
224428849,49.08964967342222,2.1103808741215695,86.2075,132.6864,-0.0,0.63443923,0.9329007,86.10722,2,0,1,0
224628857,49.089649719272764,2.1103809374758056,86.205986,132.68233,-0.0,0.63444126,0.93256617,86.11346,2,0,1,0
224828852,49.08964976906962,2.110381015799332,86.20864,132.68266,-0.0,0.6344434,0.9322354,86.11708,2,0,1,0
225028856,49.089649809782784,2.110381099210861,86.2099,132.68143,-0.0,0.6344458,0.93294597,86.11594,2,0,1,0
225228849,49.089649839805745,2.1103811539934636,86.209496,132.67834,-0.0,0.63444823,0.9326215,86.11241,2,0,1,0
225428849,49.089649876942445,2.1103812013699867,86.21071,132.67686,-0.0,0.63445073,0.93228287,86.1193,2,0,1,0
225628853,49.0896499153742,2.110381226803327,86.21669,132.68013,-0.0,0.6344531,0.932987,86.12792,2,0,1,0
225828849,49.08964993806737,2.110381243684678,86.22186,132.68265,-0.0,0.63445544,0.9326555,86.126884,2,0,1,0
226028849,49.089649928053106,2.110381251935486,86.222404,132.6802,-0.0,0.6344576,0.9323243,86.12345,2,0,1,0
226228899,49.0896499103982,2.110381273426864,86.22174,132.6764,-0.0,0.6344597,0.93199676,86.12487,2,0,1,0
228028850,49.08965002784913,2.1103817353532386,86.233604,132.65869,-0.0,0.6344623,0.9321785,86.13821,2,0,1,0
228228849,49.089650039306946,2.110381764506024,86.23882,132.66107,-0.0,0.634465,0.9328983,86.14097,2,0,1,0
228428849,49.089650051603115,2.1103817818523165,86.24209,132.66168,-0.0,0.6344674,0.93257004,86.13911,2,0,1,0
228628850,49.089650068670025,2.110381795341683,86.24394,132.66116,-0.0,0.6344694,0.9322418,86.1451,2,0,1,0
228828849,49.08965009989205,2.1103817910197935,86.2466,132.66193,-0.0,0.63447106,0.93295497,86.14519,2,0,1,0
229028849,49.08965012969249,2.110381747342932,86.2477,132.66124,-0.0,0.6344725,0.9326294,86.14551,2,0,1,0
229228849,49.08965013888712,2.1103817093827217,86.24789,132.66006,-0.0,0.63451403,0.9323138,86.143936,2,0,1,0
229428849,49.08965014214567,2.1103816874067944,86.24721,132.65808,-0.0,0.63451123,0.9319946,86.144226,2,0,1,0
229628852,49.08965014815519,2.110381687177597,86.24846,132.65845,-0.0,0.6345084,0.932714,86.1452,2,0,1,0
229828849,49.089650143497565,2.1103816886444116,86.24794,132.65718,-0.0,0.6345055,0.93240345,86.14268,2,0,1,0
230028849,49.08965011485385,2.1103816685151378,86.24591,132.6543,-0.0,0.63450277,0.9320952,86.1392,2,0,1,0
230228849,49.089650083641985,2.110381651345676,86.24005,132.64796,-0.0,0.63445956,0.93178624,86.12947,2,0,1,0
230428849,49.089650050867576,2.1103816303913288,86.23646,132.6443,-0.0,0.63446087,0.93251324,86.13566,2,0,1,0
230628876,49.08965001710203,2.1103816105436373,86.23831,132.64659,-0.0,0.6344622,0.93220776,86.14273,2,0,1,0
230828854,49.08964996572818,2.110381571981077,86.23993,132.64919,-0.0,0.6344634,0.93190426,86.1419,2,0,1,0
231028854,49.08964991944507,2.1103815334381544,86.24272,132.65295,-0.0,0.6344647,0.9326329,86.14643,2,0,1,0
231228897,49.0896498910238,2.11038148526928,86.24529,132.65672,-0.0,0.6344659,0.93233305,86.14475,2,0,1,0
231428894,49.08964985283859,2.110381431534409,86.246826,132.65985,-0.0,0.63446695,0.93202096,86.14737,2,0,1,0
231628868,49.08964980452659,2.1103813661567674,86.246346,132.6611,-0.0,0.6344681,0.93274057,86.14369,2,0,1,0
231828935,49.08964975488089,2.1103812941981377,86.246216,132.6629,-0.0,0.6344691,0.9324295,86.14525,2,0,1,0
232028849,49.089649703737514,2.110381233849555,86.246635,132.66547,-0.0,0.63447,0.9321172,86.14413,2,0,1,0
232228849,49.08964966328488,2.11038117521005,86.24857,132.66957,-0.0,0.63447076,0.93181074,86.1529,2,0,1,0
232428850,49.08964961984437,2.110381122555648,86.2511,132.67432,-0.0,0.63447154,0.9325344,86.15072,2,0,1,0
232628864,49.08964957874955,2.1103810535044287,86.25179,132.6772,-0.0,0.63447225,0.9322284,86.1475,2,0,1,0
232828858,49.08964955442841,2.1103809800789546,86.248665,132.67651,-0.0,0.6344325,0.93192464,86.14314,2,0,1,0
233028849,49.08964953951475,2.1103809403507534,86.24412,132.67432,-0.0,0.6344369,0.93264586,86.137024,2,0,1,0
233228867,49.08964952493236,2.1103809054748033,86.23817,132.67061,-0.0,0.6344411,0.9323281,86.13096,2,0,1,0
233428916,49.0896495191678,2.110380874075961,86.23354,132.66873,-0.0,0.63448524,0.9320161,86.13186,2,0,1,0
233628849,49.08964950542913,2.110380837091474,86.22968,132.66817,-0.0,0.63448507,0.9327363,86.12839,2,0,1,0
233828849,49.089649468891736,2.110380792753338,86.22747,132.66888,-0.0,0.6344848,0.93242574,86.126625,2,0,1,0
234028851,49.089649437295506,2.110380749659362,86.22632,132.67062,-0.0,0.63444406,0.93211085,86.127815,2,0,1,0
234228858,49.08964941591832,2.110380734179334,86.22685,132.67346,-0.0,0.6344475,0.93180484,86.12836,2,0,1,0
234428849,49.08964937636735,2.110380745887661,86.22396,132.673,-0.0,0.63445073,0.93252856,86.12125,2,0,1,0
234628849,49.08964932974389,2.11038076802081,86.222755,132.67416,-0.0,0.6344537,0.932209,86.12571,2,0,1,0
234828855,49.08964927449882,2.110380793709671,86.221725,132.676,-0.0,0.63445646,0.93189234,86.124985,2,0,1,0
