timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
154998174,65333,1,1,1,0,0,0,0,0
155503270,65333,1,1,1,0,0,0,0,0
156005459,65333,1,1,1,0,0,0,0,0
156516414,65333,1,1,1,0,0,0,0,0
157025568,65333,1,1,1,0,0,0,0,0
157531745,65333,1,1,1,0,0,0,0,0
158033250,65333,1,1,1,0,0,0,0,0
158536438,65333,1,1,1,0,0,0,0,0
159038243,65333,1,1,1,0,0,0,0,0
159542391,65333,1,1,1,0,0,0,0,0
160053189,65333,1,1,1,0,0,0,0,0
160558175,65333,1,1,1,0,0,0,0,0
161062191,65333,1,1,1,0,0,0,0,0
161565576,65333,1,1,1,0,0,0,0,0
162067174,65333,1,1,1,0,0,0,0,0
162571619,65333,1,1,1,0,0,0,0,0
163073173,65333,1,1,1,0,0,0,0,0
163573213,65333,1,1,1,0,0,0,0,0
164076333,65333,1,1,1,0,0,0,0,0
164578221,65333,1,1,1,0,0,0,0,0
166085450,65333,1,1,1,0,0,0,0,0
166596326,65333,1,1,1,0,0,0,0,0
167102152,65333,1,1,1,0,0,0,0,0
167605395,65333,1,1,1,0,0,0,0,0
168116500,65333,1,1,1,0,0,0,0,0
168618174,65333,1,1,1,0,0,0,0,0
169122988,65333,1,1,1,0,0,0,0,0
171136472,65333,1,1,1,0,0,0,0,0
171638170,65333,1,1,1,0,0,0,0,0
172142214,65333,1,1,1,0,0,0,0,0
172645516,65333,1,1,1,0,0,0,0,0
173147175,65333,1,1,1,0,0,0,0,0
173652434,65333,1,1,1,0,0,0,0,0
174154170,65333,1,1,1,0,0,0,0,0
174665383,65333,1,1,1,0,0,0,0,0
175167544,65333,1,1,1,0,0,0,0,0
175671782,65333,1,1,1,0,0,0,0,0
176173235,65333,1,1,1,0,0,0,0,0
176678183,65333,1,1,1,0,0,0,0,0
177178188,65333,1,1,1,0,0,0,0,0
177682172,65333,1,1,1,0,0,0,0,0
178185270,65333,1,1,1,0,0,0,0,0
178687223,65333,1,1,1,0,0,0,0,0
179187231,65333,1,1,1,0,0,0,0,0
179698177,65333,1,1,1,0,0,0,0,0
