timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
157632388,157631873,2359306,2359306,3.63941e-05,9.308885e-06,-1.63873e-05,7.361113e-05,0.0018741209,-0.0494094,5020,5020,0
158132458,158131943,2359306,2359306,-0.00012714672,1.1222675e-06,6.448084e-06,0.00033025348,0.0015416181,-0.048865333,5001,5001,0
158632539,158632035,2359306,2359306,0.00014684921,8.731056e-06,-1.4448642e-05,0.00015644392,0.0016863812,-0.04908574,5004,5004,0
159132675,159132156,2359306,2359306,6.8984715e-05,1.4120837e-05,-9.478127e-06,0.00025331957,0.0018886734,-0.049500395,5037,5037,0
159632735,159632214,2359306,2359306,-8.765615e-05,1.2529746e-05,9.907458e-06,0.00034612886,0.0018162439,-0.049163107,5004,5004,0
160132939,160132308,2359306,2359306,1.3374985e-05,-8.136227e-06,-1.5262736e-06,0.0002498489,0.0016729146,-0.048862,5008,5008,0
160632920,160632392,2359306,2359306,0.0001002165,4.817948e-07,-1.0590416e-05,0.0002104312,0.001999011,-0.04922257,5000,5000,0
161133008,161132494,2359306,2359306,-7.252671e-05,6.4060196e-06,3.1745553e-06,0.00019109886,0.0019382391,-0.04921339,5009,5009,0
161633087,161632575,2359306,2359306,-6.229211e-05,1.0425814e-05,5.5426517e-06,0.00029937646,0.0017894278,-0.048638776,4995,4995,0
162133200,162132676,2359306,2359306,1.5122366e-05,7.1969894e-06,-3.0454428e-06,0.00031266373,0.0016977743,-0.048844144,5005,5005,0
162633334,162632759,2359306,2359306,-4.919506e-05,3.1328502e-06,-2.3958278e-06,0.00011090578,0.0017862382,-0.04902639,5001,5001,0
163128380,163127850,2359306,2359306,5.483808e-06,4.927394e-07,-3.933238e-06,0.00011196357,0.0016786285,-0.049269337,4998,4998,0
163628499,163627943,2359306,2359306,4.794906e-05,1.7831624e-05,6.1479193e-07,0.0004627133,0.0016912713,-0.04885778,5001,5001,0
164128548,164128044,2359306,2359306,-1.475979e-06,6.7169544e-06,-6.1078e-06,0.000584034,0.0016928035,-0.048792124,5009,5009,0
164628655,164628134,2359306,2359306,-4.1620784e-05,5.421737e-06,7.6930455e-06,1.5661039e-05,0.0017516015,-0.04927946,5005,5005,0
165128785,165128227,2359306,2359306,-2.8524308e-05,9.621548e-07,8.805888e-06,0.0003422867,0.0016438556,-0.049099613,5004,5004,0
166129005,166128413,2359306,2359306,2.0462336e-05,-4.5661222e-06,-3.2722885e-06,0.0002530049,0.0019437073,-0.04886978,4998,4998,0
166629026,166628507,2359306,2359306,-5.6099878e-05,5.05375e-06,4.6887712e-06,0.00010898993,0.0017902026,-0.0489603,5000,5000,0
167129121,167128603,2359306,2359306,1.3959156e-05,2.4277454e-06,4.4183203e-06,0.0001837536,0.0017251079,-0.049255412,4998,4998,0
167629233,167628698,2359306,2359306,-1.5322257e-05,1.5513811e-05,-8.526983e-06,0.0012366886,0.0024063224,-0.04949339,5001,5001,0
168129469,168128803,2359306,2359306,-1.3399322e-05,3.6388108e-06,3.3470888e-06,0.00044576527,0.001670338,-0.048805095,5007,5007,0
168629601,168628894,2359306,2359306,4.368201e-05,3.2346572e-06,-6.7131427e-06,0.000108908425,0.0016682778,-0.048870545,5000,5000,0
169129618,169128990,2359306,2359306,-4.793848e-05,-9.174489e-06,8.120816e-06,0.00032370555,0.0018570333,-0.04899462,5004,5004,0
171130810,171129378,2359306,2359306,-7.283985e-05,4.4451785e-06,1.6406395e-05,0.0003448167,0.0018394751,-0.049273614,5001,5001,0
171631110,171629477,2359306,2359306,-2.0824322e-05,1.7487178e-05,3.0433848e-06,0.0006521615,0.0020025426,-0.048640188,4999,4999,0
172130987,172129575,2359306,2359306,-9.061687e-05,6.262927e-06,7.9685715e-06,0.00047590016,0.0021053664,-0.048920162,5001,5001,0
172630839,172629674,2359306,2359306,-1.2299063e-05,8.059126e-06,-1.3388855e-08,0.00012296648,0.001523162,-0.049227238,5002,5002,0
