timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
313661540,4,0,106,114,97,53,62
314817516,4,0,106,115,88,54,64
315622105,4,0,106,115,92,48,65
316645387,4,0,106,115,100,54,62
317612522,4,0,108,114,100,45,62
318606306,4,0,109,116,96,47,64
319651763,4,0,107,111,95,47,60
320708471,4,0,107,111,99,45,61
321632048,4,0,109,113,100,46,61
322661201,4,0,109,117,100,47,62
324635570,4,0,110,115,100,47,62
325661540,4,0,110,115,100,49,65
326702306,4,0,108,113,100,46,60
327637369,4,0,107,111,98,44,63
328676543,4,0,105,109,100,47,65
329607498,4,0,108,113,100,42,62
330652386,4,0,108,114,88,41,65
331685600,4,0,105,110,99,42,65
332732355,4,0,105,111,100,43,60
333652029,4,0,106,111,100,43,67
334687311,4,0,104,107,97,45,63
335632588,4,0,104,111,99,42,60
336653680,4,0,116,124,99,42,62
339663795,4,0,100,107,99,41,59
340613685,4,0,96,104,100,43,62
341634121,4,0,95,100,97,41,61
342655321,4,0,94,101,98,43,61
343605357,4,0,89,94,97,41,65
344622458,4,0,87,89,100,42,61
345674017,4,0,84,90,100,43,57
346703309,4,0,84,89,97,41,62
347634084,4,0,91,97,100,41,63
348667539,4,0,89,96,100,41,65
349613293,4,0,86,90,100,39,63
350637313,4,0,82,88,98,41,62
351668301,4,0,74,86,100,42,61
352616398,4,0,68,83,98,43,63
353647307,4,0,68,81,97,40,61
354693696,4,0,67,80,97,42,57
355733957,7,0,66,80,94,42,57
356693351,8,0,62,80,100,42,57
360706304,11,0,65,74,100,43,67
361773277,13,0,63,74,100,43,67
362673470,13,0,64,74,92,43,63
363605452,13,0,67,74,100,43,64
364622313,13,0,73,78,100,40,61
365655538,13,0,75,79,97,42,61
366626333,13,0,75,80,97,42,65
367657569,13,0,75,81,100,40,72
368667307,13,0,76,81,100,43,53
369766316,13,0,78,81,96,43,67
370641599,13,0,77,81,100,43,63
371693996,14,0,74,81,100,41,61
372605419,14,0,72,82,98,43,62
373663509,14,0,70,81,95,43,61
374681484,14,0,78,85,100,43,66
375626309,14,0,87,96,98,45,58
376651914,14,0,91,96,100,43,62
377692321,14,0,93,97,95,45,64
378626455,14,0,94,100,100,45,63
379661479,14,0,98,102,97,43,62
380695580,14,0,101,105,100,44,59
382702280,14,0,110,117,97,41,64
383603551,14,0,110,118,100,41,62
384625378,14,0,109,115,94,43,60
385602392,14,0,108,112,100,41,66
386713695,14,0,98,105,100,43,61
387641686,14,0,92,96,100,42,59
391798304,15,0,68,81,100,39,66
392735301,15,0,72,79,83,41,54
393662852,15,0,75,81,97,44,66
394682314,15,0,68,79,100,42,63
395814096,16,0,64,77,94,39,58
396645231,18,0,63,75,97,41,65
397823300,20,0,60,75,97,41,65
398617367,20,0,69,77,98,40,56
399665432,20,0,76,84,100,43,63
400608415,20,0,72,83,100,43,64
401643661,20,0,71,82,91,41,61
403633685,23,0,65,76,100,43,57
404623301,23,0,69,77,99,40,64
405675777,23,0,70,78,95,43,63
406606306,23,0,79,81,100,40,62
407653370,23,0,87,92,100,40,60
408695856,23,0,93,99,97,44,62
409615483,23,0,97,103,100,38,64
410656305,23,0,94,98,98,41,61
411685417,23,0,96,101,100,42,65
412605505,23,0,89,95,97,41,59
413645608,23,0,96,101,100,43,68
415622127,23,0,82,89,94,42,59
416662372,23,0,77,86,95,43,63
417701402,23,0,77,85,100,42,61
418633992,24,0,74,85,97,42,61
419661517,26,0,71,80,98,41,62
420703303,26,0,66,76,95,43,64
421673659,26,0,72,80,97,41,65
424630360,27,0,70,80,100,41,67
425686314,27,0,71,81,100,42,62
